"Country","Sex","Cause","Year","Value"
"Australia","Male","Codes for special purposes: COVID-19",2022,47.1
"Australia","Male","Codes for special purposes: COVID-19",2021,5.7
"Australia","Male","Codes for special purposes: COVID-19",2020,4.1
"Australia","Female","Codes for special purposes: COVID-19",2022,28.6
"Australia","Female","Codes for special purposes: COVID-19",2021,3.2
"Australia","Female","Codes for special purposes: COVID-19",2020,3.1
"Australia","Total","Codes for special purposes: COVID-19",2022,36.8
"Australia","Total","Codes for special purposes: COVID-19",2021,4.3
"Australia","Total","Codes for special purposes: COVID-19",2020,3.6
"Austria","Female","Codes for special purposes: COVID-19",2021,53.9
"Austria","Female","Codes for special purposes: COVID-19",2020,44.9
"Austria","Male","Codes for special purposes: COVID-19",2021,94.7
"Austria","Male","Codes for special purposes: COVID-19",2020,78.1
"Austria","Total","Codes for special purposes: COVID-19",2021,71.4
"Austria","Total","Codes for special purposes: COVID-19",2020,58.7
"Belgium","Male","Codes for special purposes: COVID-19",2020,186.8
"Belgium","Female","Codes for special purposes: COVID-19",2020,122
"Belgium","Total","Codes for special purposes: COVID-19",2020,149
"Canada","Male","Codes for special purposes: COVID-19",2020,46.3
"Canada","Female","Codes for special purposes: COVID-19",2022,36.5
"Canada","Female","Codes for special purposes: COVID-19",2021,26.7
"Canada","Female","Codes for special purposes: COVID-19",2020,34.6
"Canada","Total","Codes for special purposes: COVID-19",2022,45.8
"Canada","Total","Codes for special purposes: COVID-19",2021,34.4
"Canada","Total","Codes for special purposes: COVID-19",2020,39.8
"Canada","Male","Codes for special purposes: COVID-19",2022,58.1
"Chile","Total","Codes for special purposes: COVID-19",2021,149.8
"Chile","Total","Codes for special purposes: COVID-19",2020,128.2
"Chile","Female","Codes for special purposes: COVID-19",2021,114.9
"Chile","Female","Codes for special purposes: COVID-19",2020,93.4
"Chile","Male","Codes for special purposes: COVID-19",2021,197.1
"Chile","Male","Codes for special purposes: COVID-19",2020,175.8
"Colombia","Female","Codes for special purposes: COVID-19",2021,204.8
"Colombia","Female","Codes for special purposes: COVID-19",2020,112.7
"Colombia","Total","Codes for special purposes: COVID-19",2021,277.2
"Colombia","Total","Codes for special purposes: COVID-19",2020,168.3
"Colombia","Male","Codes for special purposes: COVID-19",2021,365.6
"Colombia","Male","Codes for special purposes: COVID-19",2020,236.1
"Costa Rica","Male","Codes for special purposes: COVID-19",2020,111.3
"Costa Rica","Female","Codes for special purposes: COVID-19",2020,56.8
"Costa Rica","Total","Codes for special purposes: COVID-19",2020,81.8
"Czechia","Male","Codes for special purposes: COVID-19",2021,303.9
"Czechia","Male","Codes for special purposes: COVID-19",2020,131.4
"Czechia","Total","Codes for special purposes: COVID-19",2021,212.5
"Czechia","Total","Codes for special purposes: COVID-19",2020,90.4
"Czechia","Female","Codes for special purposes: COVID-19",2021,150.9
"Czechia","Female","Codes for special purposes: COVID-19",2020,64.4
"Denmark","Male","Codes for special purposes: COVID-19",2020,21.7
"Denmark","Total","Codes for special purposes: COVID-19",2020,15.8
"Denmark","Female","Codes for special purposes: COVID-19",2020,11.5
"Estonia","Total","Codes for special purposes: COVID-19",2022,53
"Estonia","Total","Codes for special purposes: COVID-19",2021,105.4
"Estonia","Total","Codes for special purposes: COVID-19",2020,12
"Estonia","Male","Codes for special purposes: COVID-19",2022,85.6
"Estonia","Male","Codes for special purposes: COVID-19",2021,165.1
"Estonia","Male","Codes for special purposes: COVID-19",2020,18.7
"Estonia","Female","Codes for special purposes: COVID-19",2022,38.4
"Estonia","Female","Codes for special purposes: COVID-19",2021,75.6
"Estonia","Female","Codes for special purposes: COVID-19",2020,8.8
"Finland","Male","Codes for special purposes: COVID-19",2021,17.8
"Finland","Male","Codes for special purposes: COVID-19",2020,9.9
"Finland","Female","Codes for special purposes: COVID-19",2021,9.3
"Finland","Female","Codes for special purposes: COVID-19",2020,5.9
"Finland","Total","Codes for special purposes: COVID-19",2021,13
"Finland","Total","Codes for special purposes: COVID-19",2020,7.7
"France","Female","Codes for special purposes: COVID-19",2020,55
"France","Total","Codes for special purposes: COVID-19",2020,72.8
"France","Male","Codes for special purposes: COVID-19",2020,98.8
"Germany","Male","Codes for special purposes: COVID-19",2020,43.6
"Germany","Total","Codes for special purposes: COVID-19",2020,32.9
"Germany","Female","Codes for special purposes: COVID-19",2020,25.1
"Greece","Total","Codes for special purposes: COVID-19",2020,33.1
"Greece","Female","Codes for special purposes: COVID-19",2020,23.2
"Greece","Male","Codes for special purposes: COVID-19",2020,45
"Hungary","Male","Codes for special purposes: COVID-19",2022,98.2
"Hungary","Male","Codes for special purposes: COVID-19",2021,296.4
"Hungary","Male","Codes for special purposes: COVID-19",2020,112.4
"Hungary","Female","Codes for special purposes: COVID-19",2022,55.5
"Hungary","Female","Codes for special purposes: COVID-19",2021,174.4
"Hungary","Female","Codes for special purposes: COVID-19",2020,61.7
"Hungary","Total","Codes for special purposes: COVID-19",2022,71.1
"Hungary","Total","Codes for special purposes: COVID-19",2021,223.7
"Hungary","Total","Codes for special purposes: COVID-19",2020,81.3
"Iceland","Male","Codes for special purposes: COVID-19",2022,71.1
"Iceland","Male","Codes for special purposes: COVID-19",2021,2.8
"Iceland","Male","Codes for special purposes: COVID-19",2020,12
"Iceland","Female","Codes for special purposes: COVID-19",2022,57.9
"Iceland","Female","Codes for special purposes: COVID-19",2021,0.5
