"Country","Sex","Cause","Year","Value"
"Australia","Total","Certain conditions originating in the perinatal period",2022,2
"Australia","Total","Certain conditions originating in the perinatal period",2021,2.1
"Australia","Total","Certain conditions originating in the perinatal period",2020,1.9
"Australia","Total","Certain conditions originating in the perinatal period",2019,2
"Australia","Total","Certain conditions originating in the perinatal period",2018,2
"Australia","Total","Certain conditions originating in the perinatal period",2017,2.2
"Australia","Total","Certain conditions originating in the perinatal period",2016,2.1
"Australia","Total","Certain conditions originating in the perinatal period",2015,2.1
"Australia","Total","Certain conditions originating in the perinatal period",2014,2.1
"Australia","Total","Certain conditions originating in the perinatal period",2013,2.2
"Australia","Total","Certain conditions originating in the perinatal period",2012,2
"Australia","Total","Certain conditions originating in the perinatal period",2011,2.5
"Australia","Total","Certain conditions originating in the perinatal period",2010,2.5
"Australia","Total","Certain conditions originating in the perinatal period",2009,2.7
"Australia","Total","Certain conditions originating in the perinatal period",2008,2.5
"Australia","Total","Certain conditions originating in the perinatal period",2007,2.6
"Australia","Total","Certain conditions originating in the perinatal period",2006,3
"Australia","Total","Certain conditions originating in the perinatal period",2004,2.6
"Australia","Total","Certain conditions originating in the perinatal period",2003,2.8
"Australia","Total","Certain conditions originating in the perinatal period",2002,3
"Australia","Total","Certain conditions originating in the perinatal period",2001,3
"Australia","Total","Certain conditions originating in the perinatal period",2000,3
"Australia","Total","Certain conditions originating in the perinatal period",1999,2.9
"Australia","Total","Certain conditions originating in the perinatal period",1998,2.7
"Australia","Total","Certain conditions originating in the perinatal period",1997,2.8
"Australia","Total","Certain conditions originating in the perinatal period",1996,3
"Australia","Total","Certain conditions originating in the perinatal period",1995,2.8
"Australia","Total","Certain conditions originating in the perinatal period",1994,3.2
"Australia","Total","Certain conditions originating in the perinatal period",1993,3.1
"Australia","Total","Certain conditions originating in the perinatal period",1992,3.8
"Australia","Total","Certain conditions originating in the perinatal period",1991,3.6
"Australia","Total","Certain conditions originating in the perinatal period",1990,4.1
"Australia","Total","Certain conditions originating in the perinatal period",1989,4.3
"Australia","Total","Certain conditions originating in the perinatal period",1988,4
"Australia","Total","Certain conditions originating in the perinatal period",1987,4.2
"Australia","Total","Certain conditions originating in the perinatal period",1986,4.1
"Australia","Total","Certain conditions originating in the perinatal period",1985,4.6
"Australia","Total","Certain conditions originating in the perinatal period",1984,4.5
"Australia","Total","Certain conditions originating in the perinatal period",1983,4.6
"Australia","Total","Certain conditions originating in the perinatal period",1982,4.9
"Australia","Total","Certain conditions originating in the perinatal period",1981,4.9
"Australia","Total","Certain conditions originating in the perinatal period",1980,5.6
"Australia","Total","Certain conditions originating in the perinatal period",1979,5.6
"Australia","Total","Certain conditions originating in the perinatal period",1978,6
"Australia","Total","Certain conditions originating in the perinatal period",1977,6.1
"Australia","Total","Certain conditions originating in the perinatal period",1976,7.3
"Australia","Total","Certain conditions originating in the perinatal period",1975,7.7
"Australia","Total","Certain conditions originating in the perinatal period",1974,9.5
"Australia","Total","Certain conditions originating in the perinatal period",1973,9.9
"Australia","Total","Certain conditions originating in the perinatal period",1972,11
"Australia","Total","Certain conditions originating in the perinatal period",1971,12.2
"Australia","Total","Certain conditions originating in the perinatal period",1970,12.5
"Australia","Total","Certain conditions originating in the perinatal period",1969,12.4
"Australia","Total","Certain conditions originating in the perinatal period",1968,12.1
"Australia","Total","Certain conditions originating in the perinatal period",1967,12.7
"Australia","Total","Certain conditions originating in the perinatal period",1966,12.2
"Australia","Total","Certain conditions originating in the perinatal period",1965,12.2
"Australia","Total","Certain conditions originating in the perinatal period",1964,12.8
"Australia","Total","Certain conditions originating in the perinatal period",1963,13.9
"Australia","Total","Certain conditions originating in the perinatal period",1962,14.5
"Australia","Total","Certain conditions originating in the perinatal period",1961,14.4
"Australia","Total","Certain conditions originating in the perinatal period",1960,14.5
"Australia","Male","Certain conditions originating in the perinatal period",2007,2.8
"Australia","Male","Certain conditions originating in the perinatal period",2006,3.2
"Australia","Male","Certain conditions originating in the perinatal period",2004,2.9
"Australia","Male","Certain conditions originating in the perinatal period",2003,3.1
"Australia","Male","Certain conditions originating in the perinatal period",2002,3.2
"Australia","Male","Certain conditions originating in the perinatal period",2001,3.5
"Australia","Male","Certain conditions originating in the perinatal period",2000,3.2
"Australia","Male","Certain conditions originating in the perinatal period",1999,3.3
"Australia","Male","Certain conditions originating in the perinatal period",1998,3.1
"Australia","Male","Certain conditions originating in the perinatal period",1997,3
"Australia","Male","Certain conditions originating in the perinatal period",1996,3.2
"Australia","Male","Certain conditions originating in the perinatal period",1995,3.1
"Australia","Male","Certain conditions originating in the perinatal period",1994,3.7
"Australia","Male","Certain conditions originating in the perinatal period",1993,3.5
"Australia","Male","Certain conditions originating in the perinatal period",1992,4.2
"Australia","Male","Certain conditions originating in the perinatal period",1991,3.9
"Australia","Male","Certain conditions originating in the perinatal period",1990,4.7
"Australia","Male","Certain conditions originating in the perinatal period",1989,4.8
"Australia","Male","Certain conditions originating in the perinatal period",1988,4.5
"Australia","Male","Certain conditions originating in the perinatal period",1987,4.7
"Australia","Male","Certain conditions originating in the perinatal period",1986,4.6
"Australia","Male","Certain conditions originating in the perinatal period",1985,5.1
"Australia","Male","Certain conditions originating in the perinatal period",1984,5
"Australia","Male","Certain conditions originating in the perinatal period",1983,4.9
"Australia","Male","Certain conditions originating in the perinatal period",1982,5.6
"Australia","Male","Certain conditions originating in the perinatal period",1981,5.5
"Australia","Male","Certain conditions originating in the perinatal period",1980,6.3
"Australia","Male","Certain conditions originating in the perinatal period",1979,6.3
"Australia","Male","Certain conditions originating in the perinatal period",1978,6.8
"Australia","Male","Certain conditions originating in the perinatal period",1977,6.9
"Australia","Male","Certain conditions originating in the perinatal period",1976,8
"Australia","Male","Certain conditions originating in the perinatal period",1975,9
"Australia","Male","Certain conditions originating in the perinatal period",1974,11.3
"Australia","Male","Certain conditions originating in the perinatal period",1973,11.4
"Australia","Male","Certain conditions originating in the perinatal period",1972,12.9
"Australia","Male","Certain conditions originating in the perinatal period",1971,13.7
"Australia","Male","Certain conditions originating in the perinatal period",1970,14.8
"Australia","Male","Certain conditions originating in the perinatal period",1969,14.5
"Australia","Male","Certain conditions originating in the perinatal period",1968,13.8
"Australia","Male","Certain conditions originating in the perinatal period",1967,14.8
"Australia","Male","Certain conditions originating in the perinatal period",1966,13.8
"Australia","Male","Certain conditions originating in the perinatal period",1965,13.8
"Australia","Male","Certain conditions originating in the perinatal period",1964,14.5
"Australia","Male","Certain conditions originating in the perinatal period",1963,15.8
"Australia","Male","Certain conditions originating in the perinatal period",1962,16.7
"Australia","Male","Certain conditions originating in the perinatal period",1961,16.4
"Australia","Male","Certain conditions originating in the perinatal period",1960,16.2
"Australia","Male","Certain conditions originating in the perinatal period",2022,2
"Australia","Male","Certain conditions originating in the perinatal period",2021,2.5
"Australia","Male","Certain conditions originating in the perinatal period",2020,2.1
"Australia","Male","Certain conditions originating in the perinatal period",2019,2.3
"Australia","Male","Certain conditions originating in the perinatal period",2018,2.2
"Australia","Male","Certain conditions originating in the perinatal period",2017,2.5
"Australia","Male","Certain conditions originating in the perinatal period",2016,2.3
"Australia","Male","Certain conditions originating in the perinatal period",2015,2.2
"Australia","Male","Certain conditions originating in the perinatal period",2014,2.1
"Australia","Male","Certain conditions originating in the perinatal period",2013,2.2
"Australia","Male","Certain conditions originating in the perinatal period",2012,2.2
"Australia","Male","Certain conditions originating in the perinatal period",2011,2.7
"Australia","Male","Certain conditions originating in the perinatal period",2010,2.9
"Australia","Male","Certain conditions originating in the perinatal period",2009,3
"Australia","Male","Certain conditions originating in the perinatal period",2008,2.8
"Australia","Female","Certain conditions originating in the perinatal period",1977,5.3
"Australia","Female","Certain conditions originating in the perinatal period",1976,6.4
"Australia","Female","Certain conditions originating in the perinatal period",1975,6.3
"Australia","Female","Certain conditions originating in the perinatal period",1974,7.7
"Australia","Female","Certain conditions originating in the perinatal period",1973,8.2
"Australia","Female","Certain conditions originating in the perinatal period",1972,9.1
"Australia","Female","Certain conditions originating in the perinatal period",1971,10.6
"Australia","Female","Certain conditions originating in the perinatal period",1970,10.1
"Australia","Female","Certain conditions originating in the perinatal period",1969,10.1
"Australia","Female","Certain conditions originating in the perinatal period",1968,10.3
"Australia","Female","Certain conditions originating in the perinatal period",1967,10.6
"Australia","Female","Certain conditions originating in the perinatal period",1966,10.6
"Australia","Female","Certain conditions originating in the perinatal period",1965,10.5
"Australia","Female","Certain conditions originating in the perinatal period",1964,11
"Australia","Female","Certain conditions originating in the perinatal period",1963,12
"Australia","Female","Certain conditions originating in the perinatal period",1962,12.3
"Australia","Female","Certain conditions originating in the perinatal period",1961,12.3
"Australia","Female","Certain conditions originating in the perinatal period",1960,12.7
"Australia","Female","Certain conditions originating in the perinatal period",2022,2
"Australia","Female","Certain conditions originating in the perinatal period",2021,1.7
"Australia","Female","Certain conditions originating in the perinatal period",2020,1.8
"Australia","Female","Certain conditions originating in the perinatal period",2019,1.7
"Australia","Female","Certain conditions originating in the perinatal period",2018,1.8
"Australia","Female","Certain conditions originating in the perinatal period",2017,1.9
"Australia","Female","Certain conditions originating in the perinatal period",2016,1.8
"Australia","Female","Certain conditions originating in the perinatal period",2015,2
"Australia","Female","Certain conditions originating in the perinatal period",2014,2
