"Country","Sex","Cause","Year","Value"
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2022,2.4
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2021,2.5
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2020,2.3
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2019,2.4
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2018,2.3
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2017,2.4
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2016,2.1
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2015,2.2
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2014,2.5
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2013,2.5
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2012,2.3
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2011,2.2
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2010,2.6
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2009,2.5
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2008,2.5
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2007,2.7
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2006,2.3
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2004,2.8
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2003,2.7
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2002,2.7
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2001,2.7
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",2000,2.9
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1999,3.2
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1998,2.8
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1997,3.5
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1996,3
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1995,3.3
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1994,3.5
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1993,3.3
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1992,3.7
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1991,3.7
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1990,4.1
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1989,4.1
"Australia","Female","Congenital malformations, deformations and chromosomal abnormalities",1988,4.1
