"Country","Sex","Cause","Year","Value"
"Australia","Female","Diseases of the blood and blood-forming organs",2015,2.3
"Australia","Female","Diseases of the blood and blood-forming organs",2014,2.3
"Australia","Female","Diseases of the blood and blood-forming organs",2013,2.3
"Australia","Female","Diseases of the blood and blood-forming organs",2012,2
"Australia","Female","Diseases of the blood and blood-forming organs",2011,2
"Australia","Female","Diseases of the blood and blood-forming organs",2010,1.8
"Australia","Female","Diseases of the blood and blood-forming organs",2009,2.1
"Australia","Female","Diseases of the blood and blood-forming organs",2008,2.4
"Australia","Female","Diseases of the blood and blood-forming organs",2007,2.7
"Australia","Female","Diseases of the blood and blood-forming organs",2006,2.7
"Australia","Female","Diseases of the blood and blood-forming organs",2004,2.8
"Australia","Female","Diseases of the blood and blood-forming organs",2003,2.7
"Australia","Female","Diseases of the blood and blood-forming organs",2002,2.7
"Australia","Female","Diseases of the blood and blood-forming organs",2001,2.6
"Australia","Female","Diseases of the blood and blood-forming organs",2000,2.5
"Australia","Female","Diseases of the blood and blood-forming organs",1999,3.1
"Australia","Female","Diseases of the blood and blood-forming organs",1998,2.9
"Australia","Female","Diseases of the blood and blood-forming organs",1997,2.8
"Australia","Female","Diseases of the blood and blood-forming organs",1996,2.8
"Australia","Female","Diseases of the blood and blood-forming organs",1995,2.7
"Australia","Female","Diseases of the blood and blood-forming organs",1994,3.2
"Australia","Female","Diseases of the blood and blood-forming organs",1993,3.2
"Australia","Female","Diseases of the blood and blood-forming organs",1992,3.5
"Australia","Female","Diseases of the blood and blood-forming organs",1991,3.4
"Australia","Female","Diseases of the blood and blood-forming organs",1990,3.9
"Australia","Female","Diseases of the blood and blood-forming organs",1989,4.1
"Australia","Female","Diseases of the blood and blood-forming organs",1988,3.8
"Australia","Female","Diseases of the blood and blood-forming organs",1987,4.3
"Australia","Female","Diseases of the blood and blood-forming organs",1986,4
"Australia","Female","Diseases of the blood and blood-forming organs",1985,4.2
"Australia","Female","Diseases of the blood and blood-forming organs",1984,3.9
"Australia","Female","Diseases of the blood and blood-forming organs",1983,3.9
"Australia","Female","Diseases of the blood and blood-forming organs",1982,4.3
"Australia","Female","Diseases of the blood and blood-forming organs",1981,4.2
"Australia","Female","Diseases of the blood and blood-forming organs",1980,4
"Australia","Female","Diseases of the blood and blood-forming organs",1979,4.4
"Australia","Female","Diseases of the blood and blood-forming organs",1978,3.4
"Australia","Female","Diseases of the blood and blood-forming organs",1977,4
"Australia","Female","Diseases of the blood and blood-forming organs",1976,3.3
"Australia","Female","Diseases of the blood and blood-forming organs",1975,4.3
"Australia","Female","Diseases of the blood and blood-forming organs",1974,4.4
"Australia","Female","Diseases of the blood and blood-forming organs",1973,4.2
"Australia","Female","Diseases of the blood and blood-forming organs",1972,4
"Australia","Female","Diseases of the blood and blood-forming organs",1971,4.5
"Australia","Female","Diseases of the blood and blood-forming organs",1970,5
"Australia","Female","Diseases of the blood and blood-forming organs",1969,4.6
"Australia","Female","Diseases of the blood and blood-forming organs",1968,6.1
"Australia","Female","Diseases of the blood and blood-forming organs",1967,4.9
"Australia","Female","Diseases of the blood and blood-forming organs",1966,5.8
"Australia","Female","Diseases of the blood and blood-forming organs",1965,5.2
"Australia","Female","Diseases of the blood and blood-forming organs",1964,5.1
"Australia","Female","Diseases of the blood and blood-forming organs",1963,5.1
"Australia","Female","Diseases of the blood and blood-forming organs",1962,5.3
"Australia","Female","Diseases of the blood and blood-forming organs",1961,5.7
"Australia","Female","Diseases of the blood and blood-forming organs",1960,6.2
"Australia","Female","Diseases of the blood and blood-forming organs",2022,1.9
"Australia","Female","Diseases of the blood and blood-forming organs",2021,2
"Australia","Female","Diseases of the blood and blood-forming organs",2020,1.9
"Australia","Female","Diseases of the blood and blood-forming organs",2019,2.3
"Australia","Female","Diseases of the blood and blood-forming organs",2018,2
"Australia","Female","Diseases of the blood and blood-forming organs",2017,2.1
"Australia","Female","Diseases of the blood and blood-forming organs",2016,2
"Australia","Male","Diseases of the blood and blood-forming organs",1971,5.1
"Australia","Male","Diseases of the blood and blood-forming organs",1970,4.7
"Australia","Male","Diseases of the blood and blood-forming organs",1969,4.2
"Australia","Male","Diseases of the blood and blood-forming organs",1968,5.6
"Australia","Male","Diseases of the blood and blood-forming organs",1967,4.6
"Australia","Male","Diseases of the blood and blood-forming organs",1966,5.2
"Australia","Male","Diseases of the blood and blood-forming organs",1965,5.8
"Australia","Male","Diseases of the blood and blood-forming organs",1964,5
"Australia","Male","Diseases of the blood and blood-forming organs",1963,5.5
"Australia","Male","Diseases of the blood and blood-forming organs",1962,5.4
"Australia","Male","Diseases of the blood and blood-forming organs",1961,5.3
"Australia","Male","Diseases of the blood and blood-forming organs",1960,5.1
"Australia","Male","Diseases of the blood and blood-forming organs",2022,2.3
"Australia","Male","Diseases of the blood and blood-forming organs",2021,2.2
"Australia","Male","Diseases of the blood and blood-forming organs",2020,2.3
"Australia","Male","Diseases of the blood and blood-forming organs",2019,2.3
"Australia","Male","Diseases of the blood and blood-forming organs",2018,2.1
"Australia","Male","Diseases of the blood and blood-forming organs",2017,2.6
"Australia","Male","Diseases of the blood and blood-forming organs",2016,2.4
"Australia","Male","Diseases of the blood and blood-forming organs",2015,2.5
"Australia","Male","Diseases of the blood and blood-forming organs",2014,2.7
"Australia","Male","Diseases of the blood and blood-forming organs",2013,2.4
"Australia","Male","Diseases of the blood and blood-forming organs",2012,2.3
"Australia","Male","Diseases of the blood and blood-forming organs",2011,2.7
"Australia","Male","Diseases of the blood and blood-forming organs",2010,2.4
"Australia","Male","Diseases of the blood and blood-forming organs",2009,2.4
"Australia","Male","Diseases of the blood and blood-forming organs",2008,3.1
