"Country","Sex","Cause","Year","Value"
"Australia","Male","Diseases of the circulatory system",2022,196.6
"Australia","Male","Diseases of the circulatory system",2021,192.3
"Australia","Male","Diseases of the circulatory system",2020,187.6
"Australia","Male","Diseases of the circulatory system",2019,207.2
"Australia","Male","Diseases of the circulatory system",2018,205.3
"Australia","Male","Diseases of the circulatory system",2017,216.6
"Australia","Male","Diseases of the circulatory system",2016,226.4
"Australia","Male","Diseases of the circulatory system",2015,236.6
"Australia","Male","Diseases of the circulatory system",2014,239.5
"Australia","Male","Diseases of the circulatory system",2013,241.7
"Australia","Male","Diseases of the circulatory system",2012,249.7
"Australia","Male","Diseases of the circulatory system",2011,269.4
"Australia","Male","Diseases of the circulatory system",2010,270.7
"Australia","Male","Diseases of the circulatory system",2009,286.3
"Australia","Male","Diseases of the circulatory system",2008,310
"Australia","Male","Diseases of the circulatory system",2007,311
"Australia","Male","Diseases of the circulatory system",2006,330.6
"Australia","Male","Diseases of the circulatory system",2004,359.7
"Australia","Male","Diseases of the circulatory system",2003,372.1
"Australia","Male","Diseases of the circulatory system",2002,394.8
"Australia","Male","Diseases of the circulatory system",2001,404.9
"Australia","Male","Diseases of the circulatory system",2000,421.6
"Australia","Male","Diseases of the circulatory system",1999,456.1
"Australia","Male","Diseases of the circulatory system",1998,477.8
"Australia","Male","Diseases of the circulatory system",1997,498.8
"Australia","Male","Diseases of the circulatory system",1996,533
"Australia","Male","Diseases of the circulatory system",1995,540.9
"Australia","Male","Diseases of the circulatory system",1994,582.3
"Australia","Male","Diseases of the circulatory system",1993,574.1
"Australia","Male","Diseases of the circulatory system",1992,603.8
"Australia","Male","Diseases of the circulatory system",1991,610.6
"Australia","Male","Diseases of the circulatory system",1990,637.5
"Australia","Male","Diseases of the circulatory system",1989,700.5
"Australia","Male","Diseases of the circulatory system",1988,686.4
"Australia","Male","Diseases of the circulatory system",1987,727
"Australia","Male","Diseases of the circulatory system",1986,732.8
"Australia","Male","Diseases of the circulatory system",1985,803.7
"Australia","Male","Diseases of the circulatory system",1984,815.7
"Australia","Male","Diseases of the circulatory system",1983,819.8
"Australia","Male","Diseases of the circulatory system",1982,887.2
"Australia","Male","Diseases of the circulatory system",1981,894
"Australia","Male","Diseases of the circulatory system",1980,913.2
"Australia","Male","Diseases of the circulatory system",1979,929.3
"Australia","Male","Diseases of the circulatory system",1978,972.6
"Australia","Male","Diseases of the circulatory system",1977,1008.5
"Australia","Male","Diseases of the circulatory system",1976,1101.5
"Australia","Male","Diseases of the circulatory system",1975,1073.4
"Australia","Male","Diseases of the circulatory system",1974,1236.9
"Australia","Male","Diseases of the circulatory system",1973,1184.5
"Australia","Male","Diseases of the circulatory system",1972,1209.1
"Australia","Male","Diseases of the circulatory system",1971,1227.5
"Australia","Male","Diseases of the circulatory system",1970,1263.7
"Australia","Male","Diseases of the circulatory system",1969,1237.4
"Australia","Male","Diseases of the circulatory system",1968,1323
"Australia","Male","Diseases of the circulatory system",1967,1218.5
"Australia","Male","Diseases of the circulatory system",1966,1266.7
"Australia","Male","Diseases of the circulatory system",1965,1246.6
"Australia","Male","Diseases of the circulatory system",1964,1269.3
"Australia","Male","Diseases of the circulatory system",1963,1224.5
"Australia","Male","Diseases of the circulatory system",1962,1222.7
"Australia","Male","Diseases of the circulatory system",1961,1181.1
"Australia","Male","Diseases of the circulatory system",1960,1202.8
"Australia","Total","Diseases of the circulatory system",1998,398.8
"Australia","Total","Diseases of the circulatory system",1997,415.7
"Australia","Total","Diseases of the circulatory system",1996,440.4
"Australia","Total","Diseases of the circulatory system",1995,450
"Australia","Total","Diseases of the circulatory system",1994,484.2
"Australia","Total","Diseases of the circulatory system",1993,477.5
"Australia","Total","Diseases of the circulatory system",1992,507.8
"Australia","Total","Diseases of the circulatory system",1991,507.5
"Australia","Total","Diseases of the circulatory system",1990,531.7
"Australia","Total","Diseases of the circulatory system",1989,582.4
"Australia","Total","Diseases of the circulatory system",1988,565.8
"Australia","Total","Diseases of the circulatory system",1987,596.9
"Australia","Total","Diseases of the circulatory system",1986,602
"Australia","Total","Diseases of the circulatory system",1985,661.6
"Australia","Total","Diseases of the circulatory system",1984,664.5
"Australia","Total","Diseases of the circulatory system",1983,666.7
"Australia","Total","Diseases of the circulatory system",1982,718.3
"Australia","Total","Diseases of the circulatory system",1981,717.9
"Australia","Total","Diseases of the circulatory system",1980,746.1
"Australia","Total","Diseases of the circulatory system",1979,759.3
"Australia","Total","Diseases of the circulatory system",1978,801
"Australia","Total","Diseases of the circulatory system",1977,830.6
"Australia","Total","Diseases of the circulatory system",1976,884.8
"Australia","Total","Diseases of the circulatory system",1975,876.9
"Australia","Total","Diseases of the circulatory system",1974,1008.1
"Australia","Total","Diseases of the circulatory system",1973,976.3
"Australia","Total","Diseases of the circulatory system",1972,984.6
"Australia","Total","Diseases of the circulatory system",1971,1015.5
"Australia","Total","Diseases of the circulatory system",1970,1041.1
"Australia","Total","Diseases of the circulatory system",1969,1011.8
"Australia","Total","Diseases of the circulatory system",1968,1084.4
"Australia","Total","Diseases of the circulatory system",1967,1001.6
"Australia","Total","Diseases of the circulatory system",1966,1052.7
"Australia","Total","Diseases of the circulatory system",1965,1034.8
"Australia","Total","Diseases of the circulatory system",1964,1060.2
"Australia","Total","Diseases of the circulatory system",1963,1025.1
"Australia","Total","Diseases of the circulatory system",1962,1024.8
"Australia","Total","Diseases of the circulatory system",1961,994.1
"Australia","Total","Diseases of the circulatory system",1960,1020.8
"Australia","Total","Diseases of the circulatory system",2022,168.5
"Australia","Total","Diseases of the circulatory system",2021,165.2
"Australia","Total","Diseases of the circulatory system",2020,161.2
"Australia","Total","Diseases of the circulatory system",2019,177.8
"Australia","Total","Diseases of the circulatory system",2018,176.5
"Australia","Total","Diseases of the circulatory system",2017,187.6
"Australia","Total","Diseases of the circulatory system",2016,194.2
"Australia","Total","Diseases of the circulatory system",2015,206
"Australia","Total","Diseases of the circulatory system",2014,209.1
"Australia","Total","Diseases of the circulatory system",2013,208.2
"Australia","Total","Diseases of the circulatory system",2012,216.8
"Australia","Total","Diseases of the circulatory system",2011,231.7
"Australia","Total","Diseases of the circulatory system",2010,235.6
"Australia","Total","Diseases of the circulatory system",2009,247.6
"Australia","Total","Diseases of the circulatory system",2008,269.6
"Australia","Total","Diseases of the circulatory system",2007,268.5
"Australia","Total","Diseases of the circulatory system",2006,282.7
"Australia","Total","Diseases of the circulatory system",2004,303.1
"Australia","Total","Diseases of the circulatory system",2003,314.4
"Australia","Total","Diseases of the circulatory system",2002,333.5
"Australia","Total","Diseases of the circulatory system",2001,341.5
"Australia","Total","Diseases of the circulatory system",2000,357.1
"Australia","Total","Diseases of the circulatory system",1999,381.2
"Australia","Female","Diseases of the circulatory system",1975,728.7
"Australia","Female","Diseases of the circulatory system",1974,841.3
"Australia","Female","Diseases of the circulatory system",1973,815.1
"Australia","Female","Diseases of the circulatory system",1972,816.7
"Australia","Female","Diseases of the circulatory system",1971,853.2
"Australia","Female","Diseases of the circulatory system",1970,870.9
"Australia","Female","Diseases of the circulatory system",1969,838.9
"Australia","Female","Diseases of the circulatory system",1968,902.6
"Australia","Female","Diseases of the circulatory system",1967,831
"Australia","Female","Diseases of the circulatory system",1966,885.1
"Australia","Female","Diseases of the circulatory system",1965,867.8
"Australia","Female","Diseases of the circulatory system",1964,894
"Australia","Female","Diseases of the circulatory system",1963,864.4
"Australia","Female","Diseases of the circulatory system",1962,865.2
"Australia","Female","Diseases of the circulatory system",1961,841.2
"Australia","Female","Diseases of the circulatory system",1960,871.6
"Australia","Female","Diseases of the circulatory system",2022,142.8
"Australia","Female","Diseases of the circulatory system",2021,140.5
"Australia","Female","Diseases of the circulatory system",2020,136.9
"Australia","Female","Diseases of the circulatory system",2019,151
"Australia","Female","Diseases of the circulatory system",2018,150.7
"Australia","Female","Diseases of the circulatory system",2017,161.6
"Australia","Female","Diseases of the circulatory system",2016,165.6
"Australia","Female","Diseases of the circulatory system",2015,178.1
"Australia","Female","Diseases of the circulatory system",2014,181.2
"Australia","Female","Diseases of the circulatory system",2013,178.4
"Australia","Female","Diseases of the circulatory system",2012,187.4
"Australia","Female","Diseases of the circulatory system",2011,198.5
"Australia","Female","Diseases of the circulatory system",2010,204.2
"Australia","Female","Diseases of the circulatory system",2009,213.5
"Australia","Female","Diseases of the circulatory system",2008,234.4
"Australia","Female","Diseases of the circulatory system",2007,231.3
"Australia","Female","Diseases of the circulatory system",2006,242.6
"Australia","Female","Diseases of the circulatory system",2004,256.7
"Australia","Female","Diseases of the circulatory system",2003,267.2
"Australia","Female","Diseases of the circulatory system",2002,283.7
"Australia","Female","Diseases of the circulatory system",2001,290.1
"Australia","Female","Diseases of the circulatory system",2000,304.5
"Australia","Female","Diseases of the circulatory system",1999,321.7
"Australia","Female","Diseases of the circulatory system",1998,336.2
"Australia","Female","Diseases of the circulatory system",1997,349.7
"Australia","Female","Diseases of the circulatory system",1996,368
"Australia","Female","Diseases of the circulatory system",1995,378.2
"Australia","Female","Diseases of the circulatory system",1994,406.9
"Australia","Female","Diseases of the circulatory system",1993,400.6
"Australia","Female","Diseases of the circulatory system",1992,430.1
"Australia","Female","Diseases of the circulatory system",1991,424.5
"Australia","Female","Diseases of the circulatory system",1990,447.2
"Australia","Female","Diseases of the circulatory system",1989,488.8
"Australia","Female","Diseases of the circulatory system",1988,471
"Australia","Female","Diseases of the circulatory system",1987,495.9
"Australia","Female","Diseases of the circulatory system",1986,500.6
"Australia","Female","Diseases of the circulatory system",1985,553
"Australia","Female","Diseases of the circulatory system",1984,549.9
"Australia","Female","Diseases of the circulatory system",1983,549.6
