"Country","Sex","Cause","Year","Value"
"Australia","Total","Diseases of the digestive system",2022,29
"Australia","Total","Diseases of the digestive system",2021,27.7
"Australia","Total","Diseases of the digestive system",2020,26
"Australia","Total","Diseases of the digestive system",2019,26.4
"Australia","Total","Diseases of the digestive system",2018,25.1
"Australia","Total","Diseases of the digestive system",2017,25.6
"Australia","Total","Diseases of the digestive system",2016,25.5
"Australia","Total","Diseases of the digestive system",2015,25.8
"Australia","Total","Diseases of the digestive system",2014,25.4
"Australia","Total","Diseases of the digestive system",2013,25.7
"Australia","Total","Diseases of the digestive system",2012,25.7
"Australia","Total","Diseases of the digestive system",2011,26.2
"Australia","Total","Diseases of the digestive system",2010,26.2
"Australia","Total","Diseases of the digestive system",2009,26.4
"Australia","Total","Diseases of the digestive system",2008,27
"Australia","Total","Diseases of the digestive system",2007,26.9
"Australia","Total","Diseases of the digestive system",2006,27.1
"Australia","Total","Diseases of the digestive system",2004,27.8
"Australia","Total","Diseases of the digestive system",2003,28.2
"Australia","Total","Diseases of the digestive system",2002,28.9
"Australia","Total","Diseases of the digestive system",2001,27.1
"Australia","Total","Diseases of the digestive system",2000,28.8
"Australia","Total","Diseases of the digestive system",1999,30
"Australia","Total","Diseases of the digestive system",1998,29.5
"Australia","Total","Diseases of the digestive system",1997,29.9
"Australia","Total","Diseases of the digestive system",1996,30.6
"Australia","Total","Diseases of the digestive system",1995,31
"Australia","Total","Diseases of the digestive system",1994,32.7
"Australia","Total","Diseases of the digestive system",1993,32.2
"Australia","Total","Diseases of the digestive system",1992,34.9
"Australia","Total","Diseases of the digestive system",1991,37.4
"Australia","Total","Diseases of the digestive system",1990,38
"Australia","Total","Diseases of the digestive system",1989,41.5
"Australia","Total","Diseases of the digestive system",1988,40.9
"Australia","Total","Diseases of the digestive system",1987,41.3
"Australia","Total","Diseases of the digestive system",1986,41.1
"Australia","Total","Diseases of the digestive system",1985,43
"Australia","Total","Diseases of the digestive system",1984,41.9
"Australia","Total","Diseases of the digestive system",1983,40.8
"Australia","Total","Diseases of the digestive system",1982,44.4
"Australia","Total","Diseases of the digestive system",1981,41.1
"Australia","Total","Diseases of the digestive system",1980,42.5
"Australia","Total","Diseases of the digestive system",1979,39.8
"Australia","Total","Diseases of the digestive system",1978,35.8
"Australia","Total","Diseases of the digestive system",1977,37.5
"Australia","Total","Diseases of the digestive system",1976,37.8
"Australia","Total","Diseases of the digestive system",1975,37.2
"Australia","Total","Diseases of the digestive system",1974,39.3
"Australia","Total","Diseases of the digestive system",1973,39.1
"Australia","Total","Diseases of the digestive system",1972,36.9
"Australia","Total","Diseases of the digestive system",1971,36
"Australia","Total","Diseases of the digestive system",1970,38.5
"Australia","Total","Diseases of the digestive system",1969,36.2
"Australia","Total","Diseases of the digestive system",1968,38.4
"Australia","Total","Diseases of the digestive system",1967,41.3
"Australia","Total","Diseases of the digestive system",1966,43.2
"Australia","Total","Diseases of the digestive system",1965,44
"Australia","Total","Diseases of the digestive system",1964,46.4
"Australia","Total","Diseases of the digestive system",1963,43.7
"Australia","Total","Diseases of the digestive system",1962,47.4
"Australia","Total","Diseases of the digestive system",1961,47.6
"Australia","Total","Diseases of the digestive system",1960,50
"Australia","Male","Diseases of the digestive system",2022,32.1
"Australia","Male","Diseases of the digestive system",2021,31.7
"Australia","Male","Diseases of the digestive system",2020,29
"Australia","Male","Diseases of the digestive system",2019,30.3
"Australia","Male","Diseases of the digestive system",2018,28.8
"Australia","Male","Diseases of the digestive system",2017,29.2
"Australia","Male","Diseases of the digestive system",2016,28.9
"Australia","Male","Diseases of the digestive system",2015,29.1
"Australia","Male","Diseases of the digestive system",2014,29.4
"Australia","Male","Diseases of the digestive system",2013,29.8
"Australia","Male","Diseases of the digestive system",2012,29
"Australia","Male","Diseases of the digestive system",2011,29.9
"Australia","Male","Diseases of the digestive system",2010,29.6
"Australia","Male","Diseases of the digestive system",2009,30
"Australia","Male","Diseases of the digestive system",2008,30.4
"Australia","Male","Diseases of the digestive system",2007,31.1
"Australia","Male","Diseases of the digestive system",2006,32.2
"Australia","Male","Diseases of the digestive system",2004,32.5
"Australia","Male","Diseases of the digestive system",2003,33.2
"Australia","Male","Diseases of the digestive system",2002,33.4
"Australia","Male","Diseases of the digestive system",2001,31.5
"Australia","Male","Diseases of the digestive system",2000,33.7
"Australia","Male","Diseases of the digestive system",1999,35
"Australia","Male","Diseases of the digestive system",1998,35.2
"Australia","Male","Diseases of the digestive system",1997,35.4
"Australia","Male","Diseases of the digestive system",1996,37.5
"Australia","Male","Diseases of the digestive system",1995,36.9
"Australia","Male","Diseases of the digestive system",1994,38.4
"Australia","Male","Diseases of the digestive system",1993,38.5
"Australia","Male","Diseases of the digestive system",1992,42
"Australia","Male","Diseases of the digestive system",1991,44.8
"Australia","Male","Diseases of the digestive system",1990,45.2
"Australia","Male","Diseases of the digestive system",1989,52.2
"Australia","Male","Diseases of the digestive system",1988,49.7
"Australia","Male","Diseases of the digestive system",1987,49.4
"Australia","Male","Diseases of the digestive system",1986,49.2
"Australia","Male","Diseases of the digestive system",1985,51.3
"Australia","Male","Diseases of the digestive system",1984,50.7
"Australia","Male","Diseases of the digestive system",1983,52.9
"Australia","Male","Diseases of the digestive system",1982,54.7
"Australia","Male","Diseases of the digestive system",1981,53
"Australia","Male","Diseases of the digestive system",1980,53.3
"Australia","Male","Diseases of the digestive system",1979,49.7
"Australia","Male","Diseases of the digestive system",1978,48.9
"Australia","Male","Diseases of the digestive system",1977,49.4
"Australia","Male","Diseases of the digestive system",1976,48.6
"Australia","Male","Diseases of the digestive system",1975,48.9
"Australia","Male","Diseases of the digestive system",1974,51.9
"Australia","Male","Diseases of the digestive system",1973,52.6
"Australia","Male","Diseases of the digestive system",1972,48.2
"Australia","Male","Diseases of the digestive system",1971,46.5
"Australia","Male","Diseases of the digestive system",1970,48.2
"Australia","Male","Diseases of the digestive system",1969,45.8
"Australia","Male","Diseases of the digestive system",1968,51
"Australia","Male","Diseases of the digestive system",1967,50.5
"Australia","Male","Diseases of the digestive system",1966,56
"Australia","Male","Diseases of the digestive system",1965,54.2
"Australia","Male","Diseases of the digestive system",1964,59.2
"Australia","Male","Diseases of the digestive system",1963,55.3
"Australia","Male","Diseases of the digestive system",1962,59.9
"Australia","Male","Diseases of the digestive system",1961,58.6
