"Country","Sex","Cause","Year","Value"
"Australia","Male","Diseases of the genitourinary system",2022,19.1
"Australia","Male","Diseases of the genitourinary system",2021,18.4
"Australia","Male","Diseases of the genitourinary system",2020,17.7
"Australia","Male","Diseases of the genitourinary system",2019,18.8
"Australia","Male","Diseases of the genitourinary system",2018,15.7
"Australia","Male","Diseases of the genitourinary system",2017,17.7
"Australia","Male","Diseases of the genitourinary system",2016,16.9
"Australia","Male","Diseases of the genitourinary system",2015,18.1
"Australia","Male","Diseases of the genitourinary system",2014,16.3
"Australia","Male","Diseases of the genitourinary system",2013,16.7
"Australia","Male","Diseases of the genitourinary system",2012,21.3
"Australia","Male","Diseases of the genitourinary system",2011,21.3
"Australia","Male","Diseases of the genitourinary system",2010,20.3
"Australia","Male","Diseases of the genitourinary system",2009,21.5
"Australia","Male","Diseases of the genitourinary system",2008,21.8
"Australia","Male","Diseases of the genitourinary system",2007,22.1
"Australia","Male","Diseases of the genitourinary system",2006,24.9
"Australia","Male","Diseases of the genitourinary system",2004,22.8
"Australia","Male","Diseases of the genitourinary system",2003,22.7
"Australia","Male","Diseases of the genitourinary system",2002,23.9
"Australia","Male","Diseases of the genitourinary system",2001,23.5
"Australia","Male","Diseases of the genitourinary system",2000,22.9
"Australia","Male","Diseases of the genitourinary system",1999,25.6
"Australia","Male","Diseases of the genitourinary system",1998,25.6
"Australia","Male","Diseases of the genitourinary system",1997,23.6
"Australia","Male","Diseases of the genitourinary system",1996,23.2
"Australia","Male","Diseases of the genitourinary system",1995,22.3
"Australia","Male","Diseases of the genitourinary system",1994,25
"Australia","Male","Diseases of the genitourinary system",1993,21.9
"Australia","Male","Diseases of the genitourinary system",1992,22.3
"Australia","Male","Diseases of the genitourinary system",1991,24.1
"Australia","Male","Diseases of the genitourinary system",1990,25
"Australia","Male","Diseases of the genitourinary system",1989,24.6
"Australia","Male","Diseases of the genitourinary system",1988,25.4
"Australia","Male","Diseases of the genitourinary system",1987,24.4
"Australia","Male","Diseases of the genitourinary system",1986,24
"Australia","Male","Diseases of the genitourinary system",1985,28.4
"Australia","Male","Diseases of the genitourinary system",1984,28
"Australia","Male","Diseases of the genitourinary system",1983,27.1
"Australia","Male","Diseases of the genitourinary system",1982,28.6
"Australia","Male","Diseases of the genitourinary system",1981,27
"Australia","Male","Diseases of the genitourinary system",1980,32
"Australia","Male","Diseases of the genitourinary system",1979,25.1
"Australia","Male","Diseases of the genitourinary system",1978,27.2
"Australia","Male","Diseases of the genitourinary system",1977,30.4
"Australia","Male","Diseases of the genitourinary system",1976,32.7
"Australia","Male","Diseases of the genitourinary system",1975,31.1
"Australia","Male","Diseases of the genitourinary system",1974,35.6
"Australia","Male","Diseases of the genitourinary system",1973,37.4
"Australia","Male","Diseases of the genitourinary system",1972,36.6
"Australia","Male","Diseases of the genitourinary system",1971,39.3
"Australia","Male","Diseases of the genitourinary system",1970,44.7
"Australia","Male","Diseases of the genitourinary system",1969,46.1
"Australia","Male","Diseases of the genitourinary system",1968,51.3
"Australia","Male","Diseases of the genitourinary system",1967,50.5
"Australia","Male","Diseases of the genitourinary system",1966,55
"Australia","Male","Diseases of the genitourinary system",1965,57.6
"Australia","Male","Diseases of the genitourinary system",1964,61.7
"Australia","Male","Diseases of the genitourinary system",1963,62.3
"Australia","Male","Diseases of the genitourinary system",1962,61.5
"Australia","Male","Diseases of the genitourinary system",1961,69.9
"Australia","Male","Diseases of the genitourinary system",1960,67.3
"Australia","Total","Diseases of the genitourinary system",2022,17.6
"Australia","Total","Diseases of the genitourinary system",2021,16.9
"Australia","Total","Diseases of the genitourinary system",2020,15.9
"Australia","Total","Diseases of the genitourinary system",2019,16.5
"Australia","Total","Diseases of the genitourinary system",2018,14.2
"Australia","Total","Diseases of the genitourinary system",2017,16
"Australia","Total","Diseases of the genitourinary system",2016,15.3
"Australia","Total","Diseases of the genitourinary system",2015,16.1
"Australia","Total","Diseases of the genitourinary system",2014,15
"Australia","Total","Diseases of the genitourinary system",2013,14.9
"Australia","Total","Diseases of the genitourinary system",2012,18.9
"Australia","Total","Diseases of the genitourinary system",2011,17.7
"Australia","Total","Diseases of the genitourinary system",2010,17.6
"Australia","Total","Diseases of the genitourinary system",2009,18.4
"Australia","Total","Diseases of the genitourinary system",2008,18.5
"Australia","Total","Diseases of the genitourinary system",2007,19.1
"Australia","Total","Diseases of the genitourinary system",2006,20.5
"Australia","Total","Diseases of the genitourinary system",2004,19.1
"Australia","Total","Diseases of the genitourinary system",2003,19.4
"Australia","Total","Diseases of the genitourinary system",2002,20
"Australia","Total","Diseases of the genitourinary system",2001,19.9
"Australia","Total","Diseases of the genitourinary system",2000,19.4
"Australia","Total","Diseases of the genitourinary system",1999,20.9
"Australia","Total","Diseases of the genitourinary system",1998,21.3
"Australia","Total","Diseases of the genitourinary system",1997,19.9
"Australia","Total","Diseases of the genitourinary system",1996,18.8
"Australia","Total","Diseases of the genitourinary system",1995,18.1
"Australia","Total","Diseases of the genitourinary system",1994,19.1
"Australia","Total","Diseases of the genitourinary system",1993,18.1
"Australia","Total","Diseases of the genitourinary system",1992,17.6
"Australia","Total","Diseases of the genitourinary system",1991,19.3
"Australia","Total","Diseases of the genitourinary system",1990,19.6
"Australia","Total","Diseases of the genitourinary system",1989,20.5
"Australia","Total","Diseases of the genitourinary system",1988,20.1
"Australia","Total","Diseases of the genitourinary system",1987,19.4
"Australia","Total","Diseases of the genitourinary system",1986,19.5
"Australia","Total","Diseases of the genitourinary system",1985,22.3
"Australia","Total","Diseases of the genitourinary system",1984,22.1
"Australia","Total","Diseases of the genitourinary system",1983,22.1
"Australia","Total","Diseases of the genitourinary system",1982,22.2
"Australia","Total","Diseases of the genitourinary system",1981,21
"Australia","Total","Diseases of the genitourinary system",1980,23
"Australia","Total","Diseases of the genitourinary system",1979,20.7
"Australia","Total","Diseases of the genitourinary system",1978,20.6
"Australia","Total","Diseases of the genitourinary system",1977,22.6
"Australia","Total","Diseases of the genitourinary system",1976,23
"Australia","Total","Diseases of the genitourinary system",1975,22.7
"Australia","Total","Diseases of the genitourinary system",1974,26.6
"Australia","Total","Diseases of the genitourinary system",1973,26.5
"Australia","Total","Diseases of the genitourinary system",1972,26.9
"Australia","Total","Diseases of the genitourinary system",1971,29.6
"Australia","Total","Diseases of the genitourinary system",1970,33.1
"Australia","Total","Diseases of the genitourinary system",1969,34.1
"Australia","Total","Diseases of the genitourinary system",1968,37.2
"Australia","Total","Diseases of the genitourinary system",1967,37.1
"Australia","Total","Diseases of the genitourinary system",1966,39.1
"Australia","Total","Diseases of the genitourinary system",1965,39.7
"Australia","Total","Diseases of the genitourinary system",1964,42.5
"Australia","Total","Diseases of the genitourinary system",1963,42.9
"Australia","Total","Diseases of the genitourinary system",1962,40.9
"Australia","Total","Diseases of the genitourinary system",1961,44.1
"Australia","Total","Diseases of the genitourinary system",1960,42.6
"Australia","Female","Diseases of the genitourinary system",1999,18.5
"Australia","Female","Diseases of the genitourinary system",1998,19
"Australia","Female","Diseases of the genitourinary system",1997,17.9
"Australia","Female","Diseases of the genitourinary system",1996,16.7
"Australia","Female","Diseases of the genitourinary system",1995,15.9
"Australia","Female","Diseases of the genitourinary system",1994,16.1
"Australia","Female","Diseases of the genitourinary system",1993,16.2
"Australia","Female","Diseases of the genitourinary system",1992,15.5
"Australia","Female","Diseases of the genitourinary system",1991,17
"Australia","Female","Diseases of the genitourinary system",1990,17.2
"Australia","Female","Diseases of the genitourinary system",1989,18.6
"Australia","Female","Diseases of the genitourinary system",1988,17.7
"Australia","Female","Diseases of the genitourinary system",1987,17.4
"Australia","Female","Diseases of the genitourinary system",1986,17.7
"Australia","Female","Diseases of the genitourinary system",1985,19.6
"Australia","Female","Diseases of the genitourinary system",1984,19.7
"Australia","Female","Diseases of the genitourinary system",1983,20
"Australia","Female","Diseases of the genitourinary system",1982,19.7
"Australia","Female","Diseases of the genitourinary system",1981,18.5
"Australia","Female","Diseases of the genitourinary system",1980,18.7
"Australia","Female","Diseases of the genitourinary system",1979,18.7
"Australia","Female","Diseases of the genitourinary system",1978,17.5
"Australia","Female","Diseases of the genitourinary system",1977,18.9
"Australia","Female","Diseases of the genitourinary system",1976,18.2
"Australia","Female","Diseases of the genitourinary system",1975,18.6
"Australia","Female","Diseases of the genitourinary system",1974,22.3
"Australia","Female","Diseases of the genitourinary system",1973,21.1
"Australia","Female","Diseases of the genitourinary system",1972,22.1
"Australia","Female","Diseases of the genitourinary system",1971,25
"Australia","Female","Diseases of the genitourinary system",1970,27.4
"Australia","Female","Diseases of the genitourinary system",1969,27.8
"Australia","Female","Diseases of the genitourinary system",1968,29.8
"Australia","Female","Diseases of the genitourinary system",1967,30
"Australia","Female","Diseases of the genitourinary system",1966,30.3
"Australia","Female","Diseases of the genitourinary system",1965,29.7
"Australia","Female","Diseases of the genitourinary system",1964,31.5
"Australia","Female","Diseases of the genitourinary system",1963,30.9
"Australia","Female","Diseases of the genitourinary system",1962,28
"Australia","Female","Diseases of the genitourinary system",1961,27.8
"Australia","Female","Diseases of the genitourinary system",1960,26.4
"Australia","Female","Diseases of the genitourinary system",2022,16.4
"Australia","Female","Diseases of the genitourinary system",2021,15.7
"Australia","Female","Diseases of the genitourinary system",2020,14.4
"Australia","Female","Diseases of the genitourinary system",2019,14.7
"Australia","Female","Diseases of the genitourinary system",2018,13
"Australia","Female","Diseases of the genitourinary system",2017,14.7
"Australia","Female","Diseases of the genitourinary system",2016,14
"Australia","Female","Diseases of the genitourinary system",2015,14.6
"Australia","Female","Diseases of the genitourinary system",2014,14.1
"Australia","Female","Diseases of the genitourinary system",2013,13.6
"Australia","Female","Diseases of the genitourinary system",2012,17
"Australia","Female","Diseases of the genitourinary system",2011,15.3
"Australia","Female","Diseases of the genitourinary system",2010,15.8
"Australia","Female","Diseases of the genitourinary system",2009,16.3
"Australia","Female","Diseases of the genitourinary system",2008,16.2
"Australia","Female","Diseases of the genitourinary system",2007,17.2
"Australia","Female","Diseases of the genitourinary system",2006,17.8
"Australia","Female","Diseases of the genitourinary system",2004,16.9
"Australia","Female","Diseases of the genitourinary system",2003,17.4
"Australia","Female","Diseases of the genitourinary system",2002,18
"Australia","Female","Diseases of the genitourinary system",2001,17.8
"Australia","Female","Diseases of the genitourinary system",2000,17.5
"Austria","Female","Diseases of the genitourinary system",2017,16.2
"Austria","Female","Diseases of the genitourinary system",2016,15.3
"Austria","Female","Diseases of the genitourinary system",2015,15.1
"Austria","Female","Diseases of the genitourinary system",2014,13.6
"Austria","Female","Diseases of the genitourinary system",2013,13.2
"Austria","Female","Diseases of the genitourinary system",2012,13.5
"Austria","Female","Diseases of the genitourinary system",2011,12.1
"Austria","Female","Diseases of the genitourinary system",2010,12.5
"Austria","Female","Diseases of the genitourinary system",2009,10.6
"Austria","Female","Diseases of the genitourinary system",2008,12
"Austria","Female","Diseases of the genitourinary system",2007,11.1
"Austria","Female","Diseases of the genitourinary system",2006,11.3
"Austria","Female","Diseases of the genitourinary system",2005,12.1
"Austria","Female","Diseases of the genitourinary system",2004,14.3
"Austria","Female","Diseases of the genitourinary system",2003,13.9
"Austria","Female","Diseases of the genitourinary system",2002,12.4
"Austria","Female","Diseases of the genitourinary system",2001,11.4
"Austria","Female","Diseases of the genitourinary system",2000,10.7
"Austria","Female","Diseases of the genitourinary system",1999,8.8
"Austria","Female","Diseases of the genitourinary system",1998,9.2
"Austria","Female","Diseases of the genitourinary system",1997,9.6
"Austria","Female","Diseases of the genitourinary system",1996,9.4
"Austria","Female","Diseases of the genitourinary system",1995,10.3
"Austria","Female","Diseases of the genitourinary system",1994,10.4
"Austria","Female","Diseases of the genitourinary system",1993,11.6
"Austria","Female","Diseases of the genitourinary system",1992,10.9
"Austria","Female","Diseases of the genitourinary system",1991,12
"Austria","Female","Diseases of the genitourinary system",1990,12.5
"Austria","Female","Diseases of the genitourinary system",1989,13.2
"Austria","Female","Diseases of the genitourinary system",1988,13.3
"Austria","Female","Diseases of the genitourinary system",1987,13.3
"Austria","Female","Diseases of the genitourinary system",1986,14.6
"Austria","Female","Diseases of the genitourinary system",1985,16.7
"Austria","Female","Diseases of the genitourinary system",1984,17.3
"Austria","Female","Diseases of the genitourinary system",1983,19
"Austria","Female","Diseases of the genitourinary system",1982,20.5
"Austria","Female","Diseases of the genitourinary system",1981,19.8
"Austria","Female","Diseases of the genitourinary system",1980,19.9
"Austria","Female","Diseases of the genitourinary system",1979,20.9
"Austria","Female","Diseases of the genitourinary system",1978,20.5
"Austria","Female","Diseases of the genitourinary system",1977,23.8
"Austria","Female","Diseases of the genitourinary system",1976,24.1
"Austria","Female","Diseases of the genitourinary system",1975,26.1
"Austria","Female","Diseases of the genitourinary system",1974,25.5
"Austria","Female","Diseases of the genitourinary system",1973,24.3
"Austria","Female","Diseases of the genitourinary system",1972,26.6
"Austria","Female","Diseases of the genitourinary system",1971,30.5
"Austria","Female","Diseases of the genitourinary system",1970,28.4
