"Country","Sex","Cause","Year","Value"
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1983,6.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1982,6.4
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1981,6.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1980,6.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1979,5.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1978,6.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1977,6.4
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1976,6.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1975,5.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1974,8.4
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1973,7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1972,7.6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1971,7.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1970,7.6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1969,6.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1968,7.5
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1967,6.8
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1966,6.8
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1965,7.1
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1964,7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1963,7.8
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1962,7.7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1961,8.1
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1960,7.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2022,6.6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2021,6.2
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2020,5.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2019,5.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2018,5.8
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2017,6.2
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2016,6.2
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2015,6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2014,5.7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2013,5.7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2012,5.7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2011,6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2010,6.1
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2009,5.8
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2008,6.5
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2007,6.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2006,6.6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2004,6.5
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2003,6.5
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2002,6.7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2001,6.1
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",2000,6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1999,6.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1998,5.7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1997,5
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1996,6.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1995,6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1994,6.8
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1993,6
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1992,6.4
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1991,6.1
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1990,6.2
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1989,7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1988,6.7
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1987,6.3
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1986,5.9
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1985,6.5
"Australia","Total","Diseases of the musculoskeletal system and connective tissue",1984,6.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1981,6.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1980,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1979,6.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1978,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1977,6.9
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1976,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1975,6.5
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1974,8.9
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1973,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1972,8.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1971,8.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1970,8.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1969,7.5
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1968,7.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1967,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1966,7.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1965,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1964,7.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1963,8.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1962,8.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1961,8.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1960,8.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2022,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2021,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2020,5.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2019,6.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2018,6.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2017,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2016,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2015,6.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2014,6.5
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2013,6.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2012,6.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2011,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2010,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2009,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2008,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2007,7.2
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2006,7.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2004,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2003,7.5
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2002,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2001,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",2000,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1999,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1998,6.6
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1997,5.9
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1996,7.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1995,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1994,8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1993,6.7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1992,7.3
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1991,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1990,7
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1989,7.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1988,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1987,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1986,6.4
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1985,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1984,7.1
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1983,6.8
"Australia","Female","Diseases of the musculoskeletal system and connective tissue",1982,6.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2022,5.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2021,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2020,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2019,5.2
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2018,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2017,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2016,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2015,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2014,4.6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2013,4.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2012,4.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2011,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2010,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2009,4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2008,5.5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2007,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2006,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2004,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2003,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2002,5.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2001,4.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",2000,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1999,5.4
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1998,4.2
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1997,3.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1996,4.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1995,4.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1994,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1993,4.9
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1992,5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1991,4.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1990,5
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1989,5.7
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1988,6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1987,5.2
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1986,5.1
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1985,5.8
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1984,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1983,5.6
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1982,5.3
"Australia","Male","Diseases of the musculoskeletal system and connective tissue",1981,5.4
