"Country","Sex","Cause","Year","Value"
"Australia","Total","Diseases of the respiratory system",2022,56.7
"Australia","Total","Diseases of the respiratory system",2021,52.4
"Australia","Total","Diseases of the respiratory system",2020,49.7
"Australia","Total","Diseases of the respiratory system",2019,66.8
"Australia","Total","Diseases of the respiratory system",2018,60.1
"Australia","Total","Diseases of the respiratory system",2017,70.2
"Australia","Total","Diseases of the respiratory system",2016,65.6
"Australia","Total","Diseases of the respiratory system",2015,65.4
"Australia","Total","Diseases of the respiratory system",2014,64.6
"Australia","Total","Diseases of the respiratory system",2013,60.1
"Australia","Total","Diseases of the respiratory system",2012,65.8
"Australia","Total","Diseases of the respiratory system",2011,64
"Australia","Total","Diseases of the respiratory system",2010,62.3
"Australia","Total","Diseases of the respiratory system",2009,59.4
"Australia","Total","Diseases of the respiratory system",2008,62.6
"Australia","Total","Diseases of the respiratory system",2007,66.5
"Australia","Total","Diseases of the respiratory system",2006,66.7
"Australia","Total","Diseases of the respiratory system",2004,73.6
"Australia","Total","Diseases of the respiratory system",2003,76.1
"Australia","Total","Diseases of the respiratory system",2002,77
"Australia","Total","Diseases of the respiratory system",2001,72.3
"Australia","Total","Diseases of the respiratory system",2000,78
"Australia","Total","Diseases of the respiratory system",1999,70.4
"Australia","Total","Diseases of the respiratory system",1998,72.4
"Australia","Total","Diseases of the respiratory system",1997,104.6
"Australia","Total","Diseases of the respiratory system",1996,83.2
"Australia","Total","Diseases of the respiratory system",1995,76.9
"Australia","Total","Diseases of the respiratory system",1994,84.9
"Australia","Total","Diseases of the respiratory system",1993,79.2
"Australia","Total","Diseases of the respiratory system",1992,90.8
"Australia","Total","Diseases of the respiratory system",1991,82
"Australia","Total","Diseases of the respiratory system",1990,85
"Australia","Total","Diseases of the respiratory system",1989,105.5
"Australia","Total","Diseases of the respiratory system",1988,90
"Australia","Total","Diseases of the respiratory system",1987,87
"Australia","Total","Diseases of the respiratory system",1986,82.3
"Australia","Total","Diseases of the respiratory system",1985,103.1
"Australia","Total","Diseases of the respiratory system",1984,92.8
"Australia","Total","Diseases of the respiratory system",1983,92.4
"Australia","Total","Diseases of the respiratory system",1982,109.8
"Australia","Total","Diseases of the respiratory system",1981,91.5
"Australia","Total","Diseases of the respiratory system",1980,97
"Australia","Total","Diseases of the respiratory system",1979,96.7
"Australia","Total","Diseases of the respiratory system",1978,104.6
"Australia","Total","Diseases of the respiratory system",1977,103.3
"Australia","Total","Diseases of the respiratory system",1976,126.4
"Australia","Total","Diseases of the respiratory system",1975,101
"Australia","Total","Diseases of the respiratory system",1974,133.9
"Australia","Total","Diseases of the respiratory system",1973,116.6
"Australia","Total","Diseases of the respiratory system",1972,117.4
"Australia","Total","Diseases of the respiratory system",1971,119.2
"Australia","Total","Diseases of the respiratory system",1970,141.9
"Australia","Total","Diseases of the respiratory system",1969,117.4
"Australia","Total","Diseases of the respiratory system",1968,131.4
"Australia","Total","Diseases of the respiratory system",1967,121.1
"Australia","Total","Diseases of the respiratory system",1966,140.5
"Australia","Total","Diseases of the respiratory system",1965,122.4
"Australia","Total","Diseases of the respiratory system",1964,138.1
"Australia","Total","Diseases of the respiratory system",1963,115.2
"Australia","Total","Diseases of the respiratory system",1962,118.9
"Australia","Total","Diseases of the respiratory system",1961,107.8
"Australia","Total","Diseases of the respiratory system",1960,116.4
"Australia","Male","Diseases of the respiratory system",2022,67.6
"Australia","Male","Diseases of the respiratory system",2021,62.2
"Australia","Male","Diseases of the respiratory system",2020,60.4
"Australia","Male","Diseases of the respiratory system",2019,77.4
"Australia","Male","Diseases of the respiratory system",2018,72
"Australia","Male","Diseases of the respiratory system",2017,83.1
"Australia","Male","Diseases of the respiratory system",2016,78
"Australia","Male","Diseases of the respiratory system",2015,78.1
"Australia","Male","Diseases of the respiratory system",2014,79.9
"Australia","Male","Diseases of the respiratory system",2013,75.6
"Australia","Male","Diseases of the respiratory system",2012,82.3
"Australia","Male","Diseases of the respiratory system",2011,81.8
"Australia","Male","Diseases of the respiratory system",2010,78.9
"Australia","Male","Diseases of the respiratory system",2009,76.4
"Australia","Male","Diseases of the respiratory system",2008,80.6
"Australia","Male","Diseases of the respiratory system",2007,85.7
"Australia","Male","Diseases of the respiratory system",2006,88.5
"Australia","Male","Diseases of the respiratory system",2004,96.2
"Australia","Male","Diseases of the respiratory system",2003,99.8
"Australia","Male","Diseases of the respiratory system",2002,103.7
"Australia","Male","Diseases of the respiratory system",2001,98.2
"Australia","Male","Diseases of the respiratory system",2000,108.2
"Australia","Male","Diseases of the respiratory system",1999,97.6
"Australia","Male","Diseases of the respiratory system",1998,100.7
"Australia","Male","Diseases of the respiratory system",1997,141
"Australia","Male","Diseases of the respiratory system",1996,118.5
"Australia","Male","Diseases of the respiratory system",1995,112.3
"Australia","Male","Diseases of the respiratory system",1994,127
"Australia","Male","Diseases of the respiratory system",1993,119.9
"Australia","Male","Diseases of the respiratory system",1992,138.5
"Australia","Male","Diseases of the respiratory system",1991,127.2
"Australia","Male","Diseases of the respiratory system",1990,133.5
"Australia","Male","Diseases of the respiratory system",1989,164.6
"Australia","Male","Diseases of the respiratory system",1988,144.9
"Australia","Male","Diseases of the respiratory system",1987,142.3
"Australia","Male","Diseases of the respiratory system",1986,137
"Australia","Male","Diseases of the respiratory system",1985,169.8
"Australia","Male","Diseases of the respiratory system",1984,156.9
"Australia","Male","Diseases of the respiratory system",1983,158.6
"Australia","Male","Diseases of the respiratory system",1982,190.1
"Australia","Male","Diseases of the respiratory system",1981,157
"Australia","Male","Diseases of the respiratory system",1980,164.6
"Australia","Male","Diseases of the respiratory system",1979,166.7
"Australia","Male","Diseases of the respiratory system",1978,177.9
"Australia","Male","Diseases of the respiratory system",1977,177
"Australia","Male","Diseases of the respiratory system",1976,209.3
"Australia","Male","Diseases of the respiratory system",1975,174.1
"Australia","Male","Diseases of the respiratory system",1974,227.2
"Australia","Male","Diseases of the respiratory system",1973,199.3
"Australia","Male","Diseases of the respiratory system",1972,202.2
"Australia","Male","Diseases of the respiratory system",1971,196.4
"Australia","Male","Diseases of the respiratory system",1970,233.6
"Australia","Male","Diseases of the respiratory system",1969,198.3
"Australia","Male","Diseases of the respiratory system",1968,209.8
"Australia","Male","Diseases of the respiratory system",1967,192.6
"Australia","Male","Diseases of the respiratory system",1966,223.8
"Australia","Male","Diseases of the respiratory system",1965,195.2
"Australia","Male","Diseases of the respiratory system",1964,216.7
"Australia","Male","Diseases of the respiratory system",1963,174.7
"Australia","Male","Diseases of the respiratory system",1962,177.6
"Australia","Male","Diseases of the respiratory system",1961,162.7
"Australia","Male","Diseases of the respiratory system",1960,170.3
"Australia","Female","Diseases of the respiratory system",2022,48.1
"Australia","Female","Diseases of the respiratory system",2021,44.9
"Australia","Female","Diseases of the respiratory system",2020,41.6
"Australia","Female","Diseases of the respiratory system",2019,58.6
"Australia","Female","Diseases of the respiratory system",2018,51.1
"Australia","Female","Diseases of the respiratory system",2017,60.5
"Australia","Female","Diseases of the respiratory system",2016,56.4
"Australia","Female","Diseases of the respiratory system",2015,55.9
"Australia","Female","Diseases of the respiratory system",2014,53.5
"Australia","Female","Diseases of the respiratory system",2013,49
"Australia","Female","Diseases of the respiratory system",2012,54.4
"Australia","Female","Diseases of the respiratory system",2011,51.9
"Australia","Female","Diseases of the respiratory system",2010,50.9
"Australia","Female","Diseases of the respiratory system",2009,47.8
"Australia","Female","Diseases of the respiratory system",2008,50.3
"Australia","Female","Diseases of the respiratory system",2007,53.5
"Australia","Female","Diseases of the respiratory system",2006,52.8
"Australia","Female","Diseases of the respiratory system",2004,59.3
"Australia","Female","Diseases of the respiratory system",2003,60.6
"Australia","Female","Diseases of the respiratory system",2002,60.3
"Australia","Female","Diseases of the respiratory system",2001,56.1
"Australia","Female","Diseases of the respiratory system",2000,59
"Australia","Female","Diseases of the respiratory system",1999,52.9
"Australia","Female","Diseases of the respiratory system",1998,54.7
"Australia","Female","Diseases of the respiratory system",1997,81.7
"Australia","Female","Diseases of the respiratory system",1996,61.8
"Australia","Female","Diseases of the respiratory system",1995,55.3
"Australia","Female","Diseases of the respiratory system",1994,59.8
"Australia","Female","Diseases of the respiratory system",1993,54.6
"Australia","Female","Diseases of the respiratory system",1992,62.2
"Australia","Female","Diseases of the respiratory system",1991,54.9
"Australia","Female","Diseases of the respiratory system",1990,55.9
"Australia","Female","Diseases of the respiratory system",1989,70.8
"Australia","Female","Diseases of the respiratory system",1988,57.8
"Australia","Female","Diseases of the respiratory system",1987,54.8
"Australia","Female","Diseases of the respiratory system",1986,50.1
"Australia","Female","Diseases of the respiratory system",1985,65
"Australia","Female","Diseases of the respiratory system",1984,56
"Australia","Female","Diseases of the respiratory system",1983,54.8
"Australia","Female","Diseases of the respiratory system",1982,64.2
"Australia","Female","Diseases of the respiratory system",1981,52.8
"Australia","Female","Diseases of the respiratory system",1980,56.7
"Australia","Female","Diseases of the respiratory system",1979,55.5
"Australia","Female","Diseases of the respiratory system",1978,60.5
"Australia","Female","Diseases of the respiratory system",1977,59.1
"Australia","Female","Diseases of the respiratory system",1976,76.7
"Australia","Female","Diseases of the respiratory system",1975,56.2
"Australia","Female","Diseases of the respiratory system",1974,76.3
