"Country","Sex","Cause","Year","Value"
"Australia","Total","Diseases of the skin and subcutaneous tissue",2022,3
"Australia","Total","Diseases of the skin and subcutaneous tissue",2021,2.6
"Australia","Total","Diseases of the skin and subcutaneous tissue",2020,2.5
"Australia","Total","Diseases of the skin and subcutaneous tissue",2019,2.6
"Australia","Total","Diseases of the skin and subcutaneous tissue",2018,2.5
"Australia","Total","Diseases of the skin and subcutaneous tissue",2017,2.4
"Australia","Total","Diseases of the skin and subcutaneous tissue",2016,2.4
"Australia","Total","Diseases of the skin and subcutaneous tissue",2015,2.4
"Australia","Total","Diseases of the skin and subcutaneous tissue",2014,2.2
"Australia","Total","Diseases of the skin and subcutaneous tissue",2013,2.1
"Australia","Total","Diseases of the skin and subcutaneous tissue",2012,2
"Australia","Total","Diseases of the skin and subcutaneous tissue",2011,2.3
"Australia","Total","Diseases of the skin and subcutaneous tissue",2010,2.1
"Australia","Total","Diseases of the skin and subcutaneous tissue",2009,2.1
"Australia","Total","Diseases of the skin and subcutaneous tissue",2008,2.2
"Australia","Total","Diseases of the skin and subcutaneous tissue",2007,2.1
"Australia","Total","Diseases of the skin and subcutaneous tissue",2006,2.1
"Australia","Total","Diseases of the skin and subcutaneous tissue",2004,2.1
"Australia","Total","Diseases of the skin and subcutaneous tissue",2003,2
"Australia","Total","Diseases of the skin and subcutaneous tissue",2002,2.3
"Australia","Total","Diseases of the skin and subcutaneous tissue",2001,1.9
"Australia","Total","Diseases of the skin and subcutaneous tissue",2000,1.8
"Australia","Total","Diseases of the skin and subcutaneous tissue",1999,2.2
"Australia","Total","Diseases of the skin and subcutaneous tissue",1998,2
"Australia","Total","Diseases of the skin and subcutaneous tissue",1997,1.7
"Australia","Total","Diseases of the skin and subcutaneous tissue",1996,1.5
"Australia","Total","Diseases of the skin and subcutaneous tissue",1995,2.3
"Australia","Total","Diseases of the skin and subcutaneous tissue",1994,1.9
"Australia","Total","Diseases of the skin and subcutaneous tissue",1993,1.7
"Australia","Total","Diseases of the skin and subcutaneous tissue",1992,1.5
"Australia","Total","Diseases of the skin and subcutaneous tissue",1991,1.2
"Australia","Total","Diseases of the skin and subcutaneous tissue",1990,1.4
"Australia","Total","Diseases of the skin and subcutaneous tissue",1989,1.6
"Australia","Total","Diseases of the skin and subcutaneous tissue",1988,1.4
"Australia","Total","Diseases of the skin and subcutaneous tissue",1987,1.1
