"Country","Sex","Cause","Year","Value"
"Australia","Total","Endocrine, nutritional and metabolic diseases",2002,29.9
"Australia","Total","Endocrine, nutritional and metabolic diseases",2001,28.8
"Australia","Total","Endocrine, nutritional and metabolic diseases",2000,28.6
"Australia","Total","Endocrine, nutritional and metabolic diseases",1999,29.2
"Australia","Total","Endocrine, nutritional and metabolic diseases",1998,28.8
"Australia","Total","Endocrine, nutritional and metabolic diseases",1997,30.4
"Australia","Total","Endocrine, nutritional and metabolic diseases",1996,32.8
"Australia","Total","Endocrine, nutritional and metabolic diseases",1995,31.2
"Australia","Total","Endocrine, nutritional and metabolic diseases",1994,32.8
"Australia","Total","Endocrine, nutritional and metabolic diseases",1993,31
"Australia","Total","Endocrine, nutritional and metabolic diseases",1992,29.6
"Australia","Total","Endocrine, nutritional and metabolic diseases",1991,28.6
"Australia","Total","Endocrine, nutritional and metabolic diseases",1990,28
"Australia","Total","Endocrine, nutritional and metabolic diseases",1989,28
"Australia","Total","Endocrine, nutritional and metabolic diseases",1988,26.2
"Australia","Total","Endocrine, nutritional and metabolic diseases",1987,27
"Australia","Total","Endocrine, nutritional and metabolic diseases",1986,25.8
"Australia","Total","Endocrine, nutritional and metabolic diseases",1985,26.9
"Australia","Total","Endocrine, nutritional and metabolic diseases",1984,26.7
"Australia","Total","Endocrine, nutritional and metabolic diseases",1983,24.3
"Australia","Total","Endocrine, nutritional and metabolic diseases",1982,24.5
"Australia","Total","Endocrine, nutritional and metabolic diseases",1981,25.7
"Australia","Total","Endocrine, nutritional and metabolic diseases",1980,25.8
"Australia","Total","Endocrine, nutritional and metabolic diseases",1979,24
"Australia","Total","Endocrine, nutritional and metabolic diseases",1978,27.2
"Australia","Total","Endocrine, nutritional and metabolic diseases",1977,26.1
"Australia","Total","Endocrine, nutritional and metabolic diseases",1976,28
"Australia","Total","Endocrine, nutritional and metabolic diseases",1975,28.8
"Australia","Total","Endocrine, nutritional and metabolic diseases",1974,34.4
"Australia","Total","Endocrine, nutritional and metabolic diseases",1973,32.2
"Australia","Total","Endocrine, nutritional and metabolic diseases",1972,33.6
