"Country","Sex","Cause","Year","Value"
"Australia","Total","External causes of mortality",1966,91.9
"Australia","Total","External causes of mortality",1965,94.5
"Australia","Total","External causes of mortality",1964,94.3
"Australia","Total","External causes of mortality",1963,88
"Australia","Total","External causes of mortality",1962,94.1
"Australia","Total","External causes of mortality",1961,89.3
"Australia","Total","External causes of mortality",1960,90.7
"Australia","Total","External causes of mortality",2022,48
"Australia","Total","External causes of mortality",2021,46.2
"Australia","Total","External causes of mortality",2020,45.7
"Australia","Total","External causes of mortality",2019,48.1
"Australia","Total","External causes of mortality",2018,45.6
"Australia","Total","External causes of mortality",2017,45.8
"Australia","Total","External causes of mortality",2016,45.6
"Australia","Total","External causes of mortality",2015,46.5
"Australia","Total","External causes of mortality",2014,45
"Australia","Total","External causes of mortality",2013,41.4
"Australia","Total","External causes of mortality",2012,43.1
"Australia","Total","External causes of mortality",2011,43.4
"Australia","Total","External causes of mortality",2010,42.5
"Australia","Total","External causes of mortality",2009,43.7
"Australia","Total","External causes of mortality",2008,44.1
"Australia","Total","External causes of mortality",2007,41.6
"Australia","Total","External causes of mortality",2006,43
"Australia","Total","External causes of mortality",2004,43.1
"Australia","Total","External causes of mortality",2003,41.8
"Australia","Total","External causes of mortality",2002,42.9
"Australia","Total","External causes of mortality",2001,43.6
"Australia","Total","External causes of mortality",2000,46.3
"Australia","Total","External causes of mortality",1999,47.5
"Australia","Total","External causes of mortality",1998,48.3
"Australia","Total","External causes of mortality",1997,44.7
"Australia","Total","External causes of mortality",1996,45.6
"Australia","Total","External causes of mortality",1995,42.9
"Australia","Total","External causes of mortality",1994,45.2
"Australia","Total","External causes of mortality",1993,43.3
"Australia","Total","External causes of mortality",1992,47
"Australia","Total","External causes of mortality",1991,49.1
"Australia","Total","External causes of mortality",1990,51.6
"Australia","Total","External causes of mortality",1989,55.6
"Australia","Total","External causes of mortality",1988,56.3
"Australia","Total","External causes of mortality",1987,56.1
"Australia","Total","External causes of mortality",1986,55.7
"Australia","Total","External causes of mortality",1985,58.1
"Australia","Total","External causes of mortality",1984,57
"Australia","Total","External causes of mortality",1983,56.3
"Australia","Total","External causes of mortality",1982,63.6
"Australia","Total","External causes of mortality",1981,62.8
"Australia","Total","External causes of mortality",1980,67.1
"Australia","Total","External causes of mortality",1979,71.1
"Australia","Total","External causes of mortality",1978,73.5
"Australia","Total","External causes of mortality",1977,76.5
"Australia","Total","External causes of mortality",1976,77.1
"Australia","Total","External causes of mortality",1975,79
"Australia","Total","External causes of mortality",1974,85.2
"Australia","Total","External causes of mortality",1973,85.6
"Australia","Total","External causes of mortality",1972,87.2
"Australia","Total","External causes of mortality",1971,89.3
"Australia","Total","External causes of mortality",1970,92.5
"Australia","Total","External causes of mortality",1969,88
"Australia","Total","External causes of mortality",1968,93.4
"Australia","Total","External causes of mortality",1967,97.3
"Australia","Male","External causes of mortality",2022,65.1
"Australia","Male","External causes of mortality",2021,63
"Australia","Male","External causes of mortality",2020,63.5
"Australia","Male","External causes of mortality",2019,66.5
"Australia","Male","External causes of mortality",2018,62.5
"Australia","Male","External causes of mortality",2017,62
"Australia","Male","External causes of mortality",2016,62.1
"Australia","Male","External causes of mortality",2015,62.9
"Australia","Male","External causes of mortality",2014,60.8
"Australia","Male","External causes of mortality",2013,56.4
"Australia","Male","External causes of mortality",2012,58.5
"Australia","Male","External causes of mortality",2011,59.4
"Australia","Male","External causes of mortality",2010,59.1
"Australia","Male","External causes of mortality",2009,61.1
"Australia","Male","External causes of mortality",2008,61.8
"Australia","Male","External causes of mortality",2007,57.4
"Australia","Male","External causes of mortality",2006,60.8
"Australia","Male","External causes of mortality",2004,60.4
"Australia","Male","External causes of mortality",2003,59.2
"Australia","Male","External causes of mortality",2002,60.7
"Australia","Male","External causes of mortality",2001,62.7
"Australia","Male","External causes of mortality",2000,65.8
"Australia","Male","External causes of mortality",1999,68.7
"Australia","Male","External causes of mortality",1998,69.9
"Australia","Male","External causes of mortality",1997,63.9
"Australia","Male","External causes of mortality",1996,67.6
"Australia","Male","External causes of mortality",1995,61.3
"Australia","Male","External causes of mortality",1994,65.7
"Australia","Male","External causes of mortality",1993,63.8
"Australia","Male","External causes of mortality",1992,67.1
"Australia","Male","External causes of mortality",1991,70.2
"Australia","Male","External causes of mortality",1990,74.7
"Australia","Male","External causes of mortality",1989,78.4
"Australia","Male","External causes of mortality",1988,80.3
"Australia","Male","External causes of mortality",1987,80.8
"Australia","Male","External causes of mortality",1986,78.4
"Australia","Male","External causes of mortality",1985,82
"Australia","Male","External causes of mortality",1984,80.3
"Australia","Male","External causes of mortality",1983,81.6
"Australia","Male","External causes of mortality",1982,90.6
"Australia","Male","External causes of mortality",1981,89.5
"Australia","Male","External causes of mortality",1980,93.1
"Australia","Male","External causes of mortality",1979,99.6
"Australia","Male","External causes of mortality",1978,99.3
"Australia","Male","External causes of mortality",1977,103.3
"Australia","Male","External causes of mortality",1976,105
"Australia","Male","External causes of mortality",1975,108.7
"Australia","Male","External causes of mortality",1974,115.7
"Australia","Male","External causes of mortality",1973,113
"Australia","Male","External causes of mortality",1972,117.3
"Australia","Male","External causes of mortality",1971,121.3
"Australia","Male","External causes of mortality",1970,123.1
"Australia","Male","External causes of mortality",1969,117.9
"Australia","Male","External causes of mortality",1968,121.7
"Australia","Male","External causes of mortality",1967,129
"Australia","Male","External causes of mortality",1966,118.6
"Australia","Male","External causes of mortality",1965,123.8
"Australia","Male","External causes of mortality",1964,123.1
"Australia","Male","External causes of mortality",1963,119.5
"Australia","Male","External causes of mortality",1962,124.7
"Australia","Male","External causes of mortality",1961,120
"Australia","Male","External causes of mortality",1960,119.9
"Australia","Female","External causes of mortality",2001,25.9
"Australia","Female","External causes of mortality",2000,28.2
"Australia","Female","External causes of mortality",1999,27.8
"Australia","Female","External causes of mortality",1998,28.2
"Australia","Female","External causes of mortality",1997,26.7
"Australia","Female","External causes of mortality",1996,25.2
"Australia","Female","External causes of mortality",1995,26
"Australia","Female","External causes of mortality",1994,26.2
"Australia","Female","External causes of mortality",1993,24.5
"Australia","Female","External causes of mortality",1992,28.3
"Australia","Female","External causes of mortality",1991,29.5
"Australia","Female","External causes of mortality",1990,30.5
"Australia","Female","External causes of mortality",1989,34.3
"Australia","Female","External causes of mortality",1988,33.8
"Australia","Female","External causes of mortality",1987,33.3
"Australia","Female","External causes of mortality",1986,34.1
"Australia","Female","External causes of mortality",1985,35.7
"Australia","Female","External causes of mortality",1984,35.8
"Australia","Female","External causes of mortality",1983,33.5
"Australia","Female","External causes of mortality",1982,38.6
"Australia","Female","External causes of mortality",1981,37.9
"Australia","Female","External causes of mortality",1980,42.3
"Australia","Female","External causes of mortality",1979,45.3
"Australia","Female","External causes of mortality",1978,48.7
"Australia","Female","External causes of mortality",1977,50.3
"Australia","Female","External causes of mortality",1976,50.4
"Australia","Female","External causes of mortality",1975,51
"Australia","Female","External causes of mortality",1974,56.3
"Australia","Female","External causes of mortality",1973,58.1
"Australia","Female","External causes of mortality",1972,58
"Australia","Female","External causes of mortality",1971,58.8
"Australia","Female","External causes of mortality",1970,62.3
"Australia","Female","External causes of mortality",1969,58.9
"Australia","Female","External causes of mortality",1968,64.2
"Australia","Female","External causes of mortality",1967,66.4
"Australia","Female","External causes of mortality",1966,64.6
"Australia","Female","External causes of mortality",1965,65.2
"Australia","Female","External causes of mortality",1964,64.9
"Australia","Female","External causes of mortality",1963,57.2
"Australia","Female","External causes of mortality",1962,63.7
"Australia","Female","External causes of mortality",1961,57.7
"Australia","Female","External causes of mortality",1960,61
"Australia","Female","External causes of mortality",2022,32
"Australia","Female","External causes of mortality",2021,30.5
"Australia","Female","External causes of mortality",2020,29
"Australia","Female","External causes of mortality",2019,31
"Australia","Female","External causes of mortality",2018,29.9
"Australia","Female","External causes of mortality",2017,30.4
"Australia","Female","External causes of mortality",2016,30
"Australia","Female","External causes of mortality",2015,30.9
"Australia","Female","External causes of mortality",2014,30.1
"Australia","Female","External causes of mortality",2013,27.4
"Australia","Female","External causes of mortality",2012,28.7
"Australia","Female","External causes of mortality",2011,28.5
"Australia","Female","External causes of mortality",2010,26.7
"Australia","Female","External causes of mortality",2009,27.6
"Australia","Female","External causes of mortality",2008,27.7
"Australia","Female","External causes of mortality",2007,26.8
"Australia","Female","External causes of mortality",2006,26.6
"Australia","Female","External causes of mortality",2004,27.2
"Australia","Female","External causes of mortality",2003,25.6
"Australia","Female","External causes of mortality",2002,26.5
"Austria","Male","External causes of mortality",2005,83.1
"Austria","Male","External causes of mortality",2004,80.6
"Austria","Male","External causes of mortality",2003,80.1
"Austria","Male","External causes of mortality",2002,84.5
"Austria","Male","External causes of mortality",2001,82.6
"Austria","Male","External causes of mortality",2000,86.2
"Austria","Male","External causes of mortality",1999,85.4
"Austria","Male","External causes of mortality",1998,86
"Austria","Male","External causes of mortality",1997,89.6
"Austria","Male","External causes of mortality",1996,94.6
"Austria","Male","External causes of mortality",1995,98.2
"Austria","Male","External causes of mortality",1994,106.5
"Austria","Male","External causes of mortality",1993,101.6
"Austria","Male","External causes of mortality",1992,103.2
"Austria","Male","External causes of mortality",1991,110.8
"Austria","Male","External causes of mortality",1990,113
"Austria","Male","External causes of mortality",1989,117.6
"Austria","Male","External causes of mortality",1988,120.2
"Austria","Male","External causes of mortality",1987,121.7
"Austria","Male","External causes of mortality",1986,126.1
"Austria","Male","External causes of mortality",1985,129.9
"Austria","Male","External causes of mortality",1984,140.8
"Austria","Male","External causes of mortality",1983,146.4
"Austria","Male","External causes of mortality",1982,148.1
"Austria","Male","External causes of mortality",1981,143.9
"Austria","Male","External causes of mortality",1980,144.3
"Austria","Male","External causes of mortality",1979,154.8
"Austria","Male","External causes of mortality",1978,156.4
"Austria","Male","External causes of mortality",1977,154.6
"Austria","Male","External causes of mortality",1976,156.8
"Austria","Male","External causes of mortality",1975,165.6
"Austria","Male","External causes of mortality",1974,171.2
"Austria","Male","External causes of mortality",1973,172.7
"Austria","Male","External causes of mortality",1972,185
"Austria","Male","External causes of mortality",1971,184.8
"Austria","Male","External causes of mortality",1970,180.9
"Austria","Male","External causes of mortality",1969,165.9
"Austria","Male","External causes of mortality",1968,170
"Austria","Male","External causes of mortality",1967,169.5
"Austria","Male","External causes of mortality",1966,160
"Austria","Male","External causes of mortality",1965,157.9
"Austria","Male","External causes of mortality",1964,158.6
"Austria","Male","External causes of mortality",1963,154.3
"Austria","Male","External causes of mortality",1962,151.6
"Austria","Male","External causes of mortality",1961,157
"Austria","Male","External causes of mortality",1960,166.2
"Austria","Male","External causes of mortality",2021,68.4
"Austria","Male","External causes of mortality",2020,67.2
"Austria","Male","External causes of mortality",2019,65.9
"Austria","Male","External causes of mortality",2018,65.3
"Austria","Male","External causes of mortality",2017,65
"Austria","Male","External causes of mortality",2016,61.8
"Austria","Male","External causes of mortality",2015,67.9
"Austria","Male","External causes of mortality",2014,65.3
"Austria","Male","External causes of mortality",2013,68.4
"Austria","Male","External causes of mortality",2012,71.8
"Austria","Male","External causes of mortality",2011,69.4
"Austria","Male","External causes of mortality",2010,71.8
"Austria","Male","External causes of mortality",2009,74
"Austria","Male","External causes of mortality",2008,75.4
"Austria","Male","External causes of mortality",2007,74.9
"Austria","Male","External causes of mortality",2006,77.3
"Austria","Total","External causes of mortality",2017,44.5
