"Country","Sex","Cause","Year","Value"
"Australia","Male","Neoplasms",2019,254.8
"Australia","Male","Neoplasms",2018,251.5
"Australia","Male","Neoplasms",2017,251.1
"Australia","Male","Neoplasms",2016,258.4
"Australia","Male","Neoplasms",2015,266
"Australia","Male","Neoplasms",2014,261.7
"Australia","Male","Neoplasms",2013,272.1
"Australia","Male","Neoplasms",2012,273.7
"Australia","Male","Neoplasms",2011,284.5
"Australia","Male","Neoplasms",2010,287.6
"Australia","Male","Neoplasms",2009,286.2
"Australia","Male","Neoplasms",2008,298
"Australia","Male","Neoplasms",2007,291.3
"Australia","Male","Neoplasms",2006,307.3
"Australia","Male","Neoplasms",2004,306
"Australia","Male","Neoplasms",2003,304.4
"Australia","Male","Neoplasms",2002,315
"Australia","Male","Neoplasms",2001,318.5
"Australia","Male","Neoplasms",2000,323.8
"Australia","Male","Neoplasms",1999,327.5
"Australia","Male","Neoplasms",1998,334.8
"Australia","Male","Neoplasms",1997,332.9
"Australia","Male","Neoplasms",1996,347.5
"Australia","Male","Neoplasms",1995,347
"Australia","Male","Neoplasms",1994,363.5
"Australia","Male","Neoplasms",1993,354.2
"Australia","Male","Neoplasms",1992,355.6
"Australia","Male","Neoplasms",1991,349.8
"Australia","Male","Neoplasms",1990,355.1
"Australia","Male","Neoplasms",1989,365.8
"Australia","Male","Neoplasms",1988,360.2
"Australia","Male","Neoplasms",1987,359.1
"Australia","Male","Neoplasms",1986,353.1
"Australia","Male","Neoplasms",1985,368.8
"Australia","Male","Neoplasms",1984,360.4
"Australia","Male","Neoplasms",1983,358.3
"Australia","Male","Neoplasms",1982,354.7
"Australia","Male","Neoplasms",1981,354.8
"Australia","Male","Neoplasms",1980,355.5
"Australia","Male","Neoplasms",1979,345.6
"Australia","Male","Neoplasms",1978,346.5
"Australia","Male","Neoplasms",1977,344
"Australia","Male","Neoplasms",1976,340.2
"Australia","Male","Neoplasms",1975,342.2
"Australia","Male","Neoplasms",1974,352.7
"Australia","Male","Neoplasms",1973,343.2
"Australia","Male","Neoplasms",1972,335.7
"Australia","Male","Neoplasms",1971,333
"Australia","Male","Neoplasms",1970,331.6
"Australia","Male","Neoplasms",1969,323.5
"Australia","Male","Neoplasms",1968,329
"Australia","Male","Neoplasms",1967,307.3
"Australia","Male","Neoplasms",1966,303.8
"Australia","Male","Neoplasms",1965,297.3
"Australia","Male","Neoplasms",1964,300.6
"Australia","Male","Neoplasms",1963,294.4
"Australia","Male","Neoplasms",1962,289.8
"Australia","Male","Neoplasms",1961,285.7
"Australia","Male","Neoplasms",1960,285.4
"Australia","Male","Neoplasms",2022,239.7
"Australia","Male","Neoplasms",2021,241
"Australia","Male","Neoplasms",2020,240.3
"Australia","Total","Neoplasms",2020,194.3
"Australia","Total","Neoplasms",2019,205
"Australia","Total","Neoplasms",2018,202.2
"Australia","Total","Neoplasms",2017,201.1
"Australia","Total","Neoplasms",2016,206.4
"Australia","Total","Neoplasms",2015,213
"Australia","Total","Neoplasms",2014,209.6
"Australia","Total","Neoplasms",2013,214.7
"Australia","Total","Neoplasms",2012,215.1
"Australia","Total","Neoplasms",2011,222.2
"Australia","Total","Neoplasms",2010,224.3
"Australia","Total","Neoplasms",2009,223.3
"Australia","Total","Neoplasms",2008,231.9
"Australia","Total","Neoplasms",2007,226
"Australia","Total","Neoplasms",2006,235.7
"Australia","Total","Neoplasms",2004,236.1
"Australia","Total","Neoplasms",2003,236.2
"Australia","Total","Neoplasms",2002,242.5
"Australia","Total","Neoplasms",2001,243.9
"Australia","Total","Neoplasms",2000,245.7
"Australia","Total","Neoplasms",1999,247.5
"Australia","Total","Neoplasms",1998,252.7
"Australia","Total","Neoplasms",1997,253.1
"Australia","Total","Neoplasms",1996,261.6
"Australia","Total","Neoplasms",1995,260.7
"Australia","Total","Neoplasms",1994,269.7
"Australia","Total","Neoplasms",1993,265.7
"Australia","Total","Neoplasms",1992,265.1
"Australia","Total","Neoplasms",1991,265.2
"Australia","Total","Neoplasms",1990,264
"Australia","Total","Neoplasms",1989,270.2
"Australia","Total","Neoplasms",1988,267
"Australia","Total","Neoplasms",1987,267.1
"Australia","Total","Neoplasms",1986,264
"Australia","Total","Neoplasms",1985,271.8
"Australia","Total","Neoplasms",1984,269.2
"Australia","Total","Neoplasms",1983,266.3
"Australia","Total","Neoplasms",1982,263.3
"Australia","Total","Neoplasms",1981,258.5
"Australia","Total","Neoplasms",1980,262.1
"Australia","Total","Neoplasms",1979,255.6
"Australia","Total","Neoplasms",1978,257
"Australia","Total","Neoplasms",1977,257
"Australia","Total","Neoplasms",1976,258
"Australia","Total","Neoplasms",1975,255.1
"Australia","Total","Neoplasms",1974,264.4
"Australia","Total","Neoplasms",1973,261.2
"Australia","Total","Neoplasms",1972,255.6
"Australia","Total","Neoplasms",1971,255.1
"Australia","Total","Neoplasms",1970,256.2
"Australia","Total","Neoplasms",1969,250.3
"Australia","Total","Neoplasms",1968,251.6
"Australia","Total","Neoplasms",1967,240.9
"Australia","Total","Neoplasms",1966,239.5
"Australia","Total","Neoplasms",1965,235.4
"Australia","Total","Neoplasms",1964,241
"Australia","Total","Neoplasms",1963,239.2
"Australia","Total","Neoplasms",1962,233.6
"Australia","Total","Neoplasms",1961,235.3
"Australia","Total","Neoplasms",1960,233.8
"Australia","Total","Neoplasms",2022,195.1
"Australia","Total","Neoplasms",2021,195.8
"Australia","Female","Neoplasms",1990,203.5
"Australia","Female","Neoplasms",1989,206.4
"Australia","Female","Neoplasms",1988,205.3
"Australia","Female","Neoplasms",1987,206.1
"Australia","Female","Neoplasms",1986,205.1
"Australia","Female","Neoplasms",1985,209.4
"Australia","Female","Neoplasms",1984,209
"Australia","Female","Neoplasms",1983,206.4
"Australia","Female","Neoplasms",1982,202.2
"Australia","Female","Neoplasms",1981,194.8
"Australia","Female","Neoplasms",1980,199.4
"Australia","Female","Neoplasms",1979,195.6
"Australia","Female","Neoplasms",1978,197.2
"Australia","Female","Neoplasms",1977,200.4
"Australia","Female","Neoplasms",1976,202.6
"Australia","Female","Neoplasms",1975,197.5
"Australia","Female","Neoplasms",1974,204.7
"Australia","Female","Neoplasms",1973,206.7
"Australia","Female","Neoplasms",1972,201.4
"Australia","Female","Neoplasms",1971,202.4
"Australia","Female","Neoplasms",1970,204.7
"Australia","Female","Neoplasms",1969,199.5
"Australia","Female","Neoplasms",1968,198.7
"Australia","Female","Neoplasms",1967,194.7
"Australia","Female","Neoplasms",1966,194.6
"Australia","Female","Neoplasms",1965,191.4
"Australia","Female","Neoplasms",1964,198.1
"Australia","Female","Neoplasms",1963,200
"Australia","Female","Neoplasms",1962,193.2
"Australia","Female","Neoplasms",1961,198.6
"Australia","Female","Neoplasms",1960,196.2
"Australia","Female","Neoplasms",2022,158.6
"Australia","Female","Neoplasms",2021,159.2
"Australia","Female","Neoplasms",2020,157.4
"Australia","Female","Neoplasms",2019,164.9
"Australia","Female","Neoplasms",2018,162.9
"Australia","Female","Neoplasms",2017,161.3
"Australia","Female","Neoplasms",2016,165.1
"Australia","Female","Neoplasms",2015,171.4
"Australia","Female","Neoplasms",2014,169.2
"Australia","Female","Neoplasms",2013,170.3
"Australia","Female","Neoplasms",2012,170.5
"Australia","Female","Neoplasms",2011,175.1
"Australia","Female","Neoplasms",2010,176
"Australia","Female","Neoplasms",2009,175.9
"Australia","Female","Neoplasms",2008,182.3
"Australia","Female","Neoplasms",2007,177.3
"Australia","Female","Neoplasms",2006,184.4
"Australia","Female","Neoplasms",2004,185.6
"Australia","Female","Neoplasms",2003,186.7
"Australia","Female","Neoplasms",2002,191.1
"Australia","Female","Neoplasms",2001,190.8
"Australia","Female","Neoplasms",2000,190.4
"Australia","Female","Neoplasms",1999,191.5
"Australia","Female","Neoplasms",1998,195.1
"Australia","Female","Neoplasms",1997,197.9
"Australia","Female","Neoplasms",1996,203.1
"Australia","Female","Neoplasms",1995,202.5
"Australia","Female","Neoplasms",1994,205.7
"Australia","Female","Neoplasms",1993,206.1
"Australia","Female","Neoplasms",1992,203.1
"Australia","Female","Neoplasms",1991,208.1
"Austria","Female","Neoplasms",2020,166.1
"Austria","Female","Neoplasms",2019,167.7
"Austria","Female","Neoplasms",2018,168.4
"Austria","Female","Neoplasms",2017,167.7
"Austria","Female","Neoplasms",2016,172.6
"Austria","Female","Neoplasms",2015,173.6
"Austria","Female","Neoplasms",2014,181.2
"Austria","Female","Neoplasms",2013,177
"Austria","Female","Neoplasms",2012,185.6
"Austria","Female","Neoplasms",2011,183.3
"Austria","Female","Neoplasms",2010,183
"Austria","Female","Neoplasms",2009,183.4
"Austria","Female","Neoplasms",2008,187.3
"Austria","Female","Neoplasms",2007,184.5
"Austria","Female","Neoplasms",2006,186.6
"Austria","Female","Neoplasms",2005,193.5
"Austria","Female","Neoplasms",2004,198.1
"Austria","Female","Neoplasms",2003,198.8
"Austria","Female","Neoplasms",2002,193.8
"Austria","Female","Neoplasms",2001,196.9
"Austria","Female","Neoplasms",2000,204.1
"Austria","Female","Neoplasms",1999,203.7
"Austria","Female","Neoplasms",1998,205.1
"Austria","Female","Neoplasms",1997,211
"Austria","Female","Neoplasms",1996,212.4
"Austria","Female","Neoplasms",1995,220.9
"Austria","Female","Neoplasms",1994,223.9
"Austria","Female","Neoplasms",1993,228.5
"Austria","Female","Neoplasms",1992,229.7
"Austria","Female","Neoplasms",1991,227.3
"Austria","Female","Neoplasms",1990,231.6
"Austria","Female","Neoplasms",1989,231.1
"Austria","Female","Neoplasms",1988,233.7
"Austria","Female","Neoplasms",1987,236.4
"Austria","Female","Neoplasms",1986,231.1
"Austria","Female","Neoplasms",1985,234.6
"Austria","Female","Neoplasms",1984,241.5
"Austria","Female","Neoplasms",1983,237
"Austria","Female","Neoplasms",1982,241.7
"Austria","Female","Neoplasms",1981,240.2
"Austria","Female","Neoplasms",1980,242.8
"Austria","Female","Neoplasms",1979,235.7
"Austria","Female","Neoplasms",1978,237.7
"Austria","Female","Neoplasms",1977,248.9
"Austria","Female","Neoplasms",1976,247.8
"Austria","Female","Neoplasms",1975,249.3
"Austria","Female","Neoplasms",1974,258.7
"Austria","Female","Neoplasms",1973,254.4
"Austria","Female","Neoplasms",1972,256.5
"Austria","Female","Neoplasms",1971,260.2
"Austria","Female","Neoplasms",1970,265.5
"Austria","Female","Neoplasms",1969,264.3
"Austria","Female","Neoplasms",1968,269.5
"Austria","Female","Neoplasms",1967,270
"Austria","Female","Neoplasms",1966,272.4
"Austria","Female","Neoplasms",1965,270
"Austria","Female","Neoplasms",1964,273.1
"Austria","Female","Neoplasms",1963,271.7
"Austria","Female","Neoplasms",1962,265.6
"Austria","Female","Neoplasms",1961,273.7
"Austria","Female","Neoplasms",1960,270.8
"Austria","Female","Neoplasms",2021,162.7
"Austria","Total","Neoplasms",2021,199.3
"Austria","Total","Neoplasms",2020,204.2
"Austria","Total","Neoplasms",2019,203.7
"Austria","Total","Neoplasms",2018,207.8
"Austria","Total","Neoplasms",2017,208
"Austria","Total","Neoplasms",2016,210.9
"Austria","Total","Neoplasms",2015,215.2
"Austria","Total","Neoplasms",2014,221.1
"Austria","Total","Neoplasms",2013,221.4
"Austria","Total","Neoplasms",2012,227.6
