"Country","Sex","Cause","Year","Value"
"Australia","Female","Pregnancy, childbirth and the puerperium",1984,0.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1983,0.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1982,0.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1981,0.3
"Australia","Female","Pregnancy, childbirth and the puerperium",1980,0.3
"Australia","Female","Pregnancy, childbirth and the puerperium",1979,0.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1978,0.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1977,0.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1976,0.4
"Australia","Female","Pregnancy, childbirth and the puerperium",1975,0.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1974,0.4
"Australia","Female","Pregnancy, childbirth and the puerperium",1973,0.4
"Australia","Female","Pregnancy, childbirth and the puerperium",1972,0.5
"Australia","Female","Pregnancy, childbirth and the puerperium",1971,0.8
"Australia","Female","Pregnancy, childbirth and the puerperium",1970,1.1
"Australia","Female","Pregnancy, childbirth and the puerperium",1969,0.7
"Australia","Female","Pregnancy, childbirth and the puerperium",1968,1.1
"Australia","Female","Pregnancy, childbirth and the puerperium",1967,0.9
"Australia","Female","Pregnancy, childbirth and the puerperium",1966,1.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1965,1.3
"Australia","Female","Pregnancy, childbirth and the puerperium",1964,1.4
"Australia","Female","Pregnancy, childbirth and the puerperium",1963,1.2
"Australia","Female","Pregnancy, childbirth and the puerperium",1962,1.6
"Australia","Female","Pregnancy, childbirth and the puerperium",1961,2.1
"Australia","Female","Pregnancy, childbirth and the puerperium",1960,2.4
"Australia","Female","Pregnancy, childbirth and the puerperium",2022,0
"Australia","Female","Pregnancy, childbirth and the puerperium",2021,0.1
"Australia","Female","Pregnancy, childbirth and the puerperium",2020,0
"Australia","Female","Pregnancy, childbirth and the puerperium",2019,0.1
"Australia","Female","Pregnancy, childbirth and the puerperium",2018,0.1
